StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
HUA970－097,970－097,{'Zh_tw': '海岸中興路口'},"{'PositionLon': 121.633803, 'PositionLat': 23.993025, 'GeoHash': 'wsq2rzg19'}",2023-07-13T07:38:39+08:00,1790
HUA970－098,970－098,{'Zh_tw': '福容大飯店'},"{'PositionLon': 121.632902, 'PositionLat': 23.995167, 'GeoHash': 'wsq2xb4mu'}",2023-07-13T07:38:39+08:00,1790
HUA970－099,970－099,{'Zh_tw': '美崙浸信會'},"{'PositionLon': 121.631144, 'PositionLat': 23.995525, 'GeoHash': 'wsq2xb305'}",2023-07-13T07:38:39+08:00,1790
HUA970－100,970－100,{'Zh_tw': '美侖大飯店'},"{'PositionLon': 121.628434, 'PositionLat': 23.999335, 'GeoHash': 'wsq2x8zn7'}",2023-07-13T07:38:39+08:00,1790
HUA970－102,970－102,{'Zh_tw': '莊敬路'},"{'PositionLon': 121.592716, 'PositionLat': 23.991561, 'GeoHash': 'wsq2qzt0g'}",2023-07-13T07:38:39+08:00,1790
HUA970－103,970－103,{'Zh_tw': '慈濟大學'},"{'PositionLon': 121.591364, 'PositionLat': 23.993166, 'GeoHash': 'wsq2qzu4k'}",2023-07-13T07:38:39+08:00,1790
HUA970－104,970－104,{'Zh_tw': '花蓮體育場'},"{'PositionLon': 121.58848, 'PositionLat': 24.004021, 'GeoHash': 'wsq2wcf18'}",2023-07-13T07:38:39+08:00,1790
HUA970－105,970－105,{'Zh_tw': '花蓮棒球場'},"{'PositionLon': 121.585305, 'PositionLat': 24.007066, 'GeoHash': 'wsq2wdreq'}",2023-07-13T07:38:39+08:00,1790
HUA970－106,970－106,{'Zh_tw': '慈濟大學人社院區'},"{'PositionLon': 121.573028, 'PositionLat': 24.001083, 'GeoHash': 'wsq2w3qb2'}",2023-07-13T07:38:39+08:00,1790
HUA970－107,970－107,{'Zh_tw': '建國明智街口'},"{'PositionLon': 121.60243, 'PositionLat': 23.98359, 'GeoHash': 'wsq2rnh4t'}",2023-07-13T07:38:39+08:00,1790
HUA970－109,970－109,{'Zh_tw': '花蓮曼波園區(海岸路)'},"{'PositionLon': 121.629983, 'PositionLat': 24.023925, 'GeoHash': 'wsq2xv2m8'}",2023-07-13T07:38:39+08:00,1790
HUA970－110,970－110,{'Zh_tw': '中山(市八)市場'},"{'PositionLon': 121.5978999, 'PositionLat': 23.99175753, 'GeoHash': 'wsq2rp8fh'}",2023-07-13T07:38:39+08:00,1790
HUA970－111,970－111,{'Zh_tw': '東華大學美崙校區'},"{'PositionLon': 121.617998, 'PositionLat': 24.010448, 'GeoHash': 'wsq2x6zwb'}",2023-07-13T07:38:39+08:00,1790
HUA970－112,970－112,{'Zh_tw': '台泥花蓮廠'},"{'PositionLon': 121.635183, 'PositionLat': 24.012176, 'GeoHash': 'wsq2xgk11'}",2023-07-13T07:38:39+08:00,1790
HUA970－114,970－114,{'Zh_tw': '明禮國小'},"{'PositionLon': 121.610125, 'PositionLat': 23.980244, 'GeoHash': 'wsq2rm3z1'}",2023-07-13T07:38:39+08:00,1790
HUA970－115,970－115,{'Zh_tw': '市民廣場'},"{'PositionLon': 121.607543, 'PositionLat': 23.98352, 'GeoHash': 'wsq2rnpfj'}",2023-07-13T07:38:39+08:00,1790
HUA970－116,970－116,{'Zh_tw': '帝君廟'},"{'PositionLon': 121.606439, 'PositionLat': 23.987231, 'GeoHash': 'wsq2rnxpe'}",2023-07-13T07:38:39+08:00,1790
HUA970－118,970－118,{'Zh_tw': '松園別館'},"{'PositionLon': 121.618464, 'PositionLat': 23.982861, 'GeoHash': 'wsq2rmzy7'}",2023-07-13T07:38:39+08:00,1790
HUA971－004,971－004,{'Zh_tw': '七星潭'},"{'PositionLon': 121.626223884522, 'PositionLat': 24.0308231028475, 'GeoHash': 'wsq2xwtt8'}",2023-07-13T07:38:39+08:00,1790
HUA971－007,971－007,{'Zh_tw': '北埔'},"{'PositionLon': 121.6049555, 'PositionLat': 24.035868, 'GeoHash': 'wsq2xpw50'}",2023-07-13T07:38:39+08:00,1790
HUA971－028,971－028,{'Zh_tw': '新城火車站'},"{'PositionLon': 121.641214, 'PositionLat': 24.127645, 'GeoHash': 'wsq92023t'}",2023-07-13T07:38:39+08:00,1790
HUA971－030,971－030,{'Zh_tw': '康樂村'},"{'PositionLon': 121.605045, 'PositionLat': 24.05104, 'GeoHash': 'wsq2z4q56'}",2023-07-13T07:38:39+08:00,1790
HUA971－045,971－045,{'Zh_tw': '新城火車站'},"{'PositionLon': 121.6410605, 'PositionLat': 24.1276065, 'GeoHash': 'wsq920236'}",2023-07-13T07:38:39+08:00,1790
HUA971－046,971－046,{'Zh_tw': '立閣文旅(市區公車)'},"{'PositionLon': 121.64357, 'PositionLat': 24.13177, 'GeoHash': 'wsq92141s'}",2023-07-13T07:38:39+08:00,1790
HUA971－047,971－047,{'Zh_tw': '花蓮曼波園區(華西路)'},"{'PositionLon': 121.629337, 'PositionLat': 24.023755, 'GeoHash': 'wsq2xtru8'}",2023-07-13T07:38:39+08:00,1790
HUA972－001,972－001,{'Zh_tw': '水源村'},"{'PositionLon': 121.55637, 'PositionLat': 24.0031, 'GeoHash': 'wsq2w1dsh'}",2023-07-13T07:38:39+08:00,1790
HUA972－043,972－043,{'Zh_tw': '九曲洞(市區公車)'},"{'PositionLon': 121.52895, 'PositionLat': 24.171514, 'GeoHash': 'wsq3t2q9m'}",2023-07-13T07:38:39+08:00,1790
HUA972－046,972－046,{'Zh_tw': '可樂(市區公車)'},"{'PositionLon': 121.63197, 'PositionLat': 24.14398, 'GeoHash': 'wsq3rg38y'}",2023-07-13T07:38:39+08:00,1790
HUA972－048,972－048,{'Zh_tw': '太魯閣(市區公車)'},"{'PositionLon': 121.623515, 'PositionLat': 24.1535, 'GeoHash': 'wsq3rt583'}",2023-07-13T07:38:39+08:00,1790
HUA972－050,972－050,{'Zh_tw': '太魯閣國家公園(市區公車)'},"{'PositionLon': 121.62167, 'PositionLat': 24.1584, 'GeoHash': 'wsq3rtfhy'}",2023-07-13T07:38:39+08:00,1790
HUA972－051,972－051,{'Zh_tw': '砂卡噹(市區公車)'},"{'PositionLon': 121.612927, 'PositionLat': 24.161842, 'GeoHash': 'wsq3rqebf'}",2023-07-13T07:38:39+08:00,1790
HUA972－052,972－052,{'Zh_tw': '長春祠(市區公車)'},"{'PositionLon': 121.60434, 'PositionLat': 24.16196, 'GeoHash': 'wsq3rnt9d'}",2023-07-13T07:38:39+08:00,1790
HUA972－053,972－053,{'Zh_tw': '溪畔(市區公車)'},"{'PositionLon': 121.583935, 'PositionLat': 24.17635, 'GeoHash': 'wsq3w9ntr'}",2023-07-13T07:38:39+08:00,1790
HUA972－054,972－054,{'Zh_tw': '燕子口(市區公車)'},"{'PositionLon': 121.56685, 'PositionLat': 24.17285, 'GeoHash': 'wsq3w2d30'}",2023-07-13T07:38:39+08:00,1790
HUA972－056,972－056,{'Zh_tw': '合流露營區(市區公車)'},"{'PositionLon': 121.512386, 'PositionLat': 24.178377, 'GeoHash': 'wsq3t1d97'}",2023-07-13T07:38:39+08:00,1790
HUA972－057,972－057,{'Zh_tw': '綠水(市區公車)'},"{'PositionLon': 121.508105, 'PositionLat': 24.17883, 'GeoHash': 'wsq3scxeb'}",2023-07-13T07:38:39+08:00,1790
HUA972－058,972－058,{'Zh_tw': '天祥(市區公車)'},"{'PositionLon': 121.494423, 'PositionLat': 24.182755, 'GeoHash': 'wsq3sdmdc'}",2023-07-13T07:38:39+08:00,1790
HUA972－059,972－059,{'Zh_tw': '富世國小(市區公車)'},"{'PositionLon': 121.62859, 'PositionLat': 24.14778, 'GeoHash': 'wsq3rezpp'}",2023-07-13T07:38:39+08:00,1790
HUA972－063,972－063,{'Zh_tw': '玩味蕃樂園'},"{'PositionLon': 121.608213, 'PositionLat': 24.071799, 'GeoHash': 'wsq2zq0kk'}",2023-07-13T07:38:39+08:00,1790
HUA972－064,972－064,{'Zh_tw': '水源大橋'},"{'PositionLon': 121.558375, 'PositionLat': 24.001459, 'GeoHash': 'wsq2w1k4e'}",2023-07-13T07:38:39+08:00,1790
HUA972－065,972－065,{'Zh_tw': '太魯閣遊客中心'},"{'PositionLon': 121.621678, 'PositionLat': 24.15863, 'GeoHash': 'wsq3rtfnn'}",2023-07-13T07:38:39+08:00,1790
HUA972－066,972－066,{'Zh_tw': '布洛灣'},"{'PositionLon': 121.573711, 'PositionLat': 24.170501, 'GeoHash': 'wsq3w2p72'}",2023-07-13T07:38:39+08:00,1790
HUA972－067,972－067,{'Zh_tw': '慕谷慕魚'},"{'PositionLon': 121.507064, 'PositionLat': 23.957268, 'GeoHash': 'wsq2kcq9p'}",2023-07-13T07:38:39+08:00,1790
HUA972－068,972－068,{'Zh_tw': '文蘭'},"{'PositionLon': 121.506265, 'PositionLat': 23.948648, 'GeoHash': 'wsq2hzwnv'}",2023-07-13T07:38:39+08:00,1790
HUA973－032,973－032,{'Zh_tw': '建國路加油站'},"{'PositionLon': 121.584204, 'PositionLat': 23.989214, 'GeoHash': 'wsq2qxngm'}",2023-07-13T07:38:39+08:00,1790
HUA973－041,973－041,{'Zh_tw': '中華紙漿(市區公車)'},"{'PositionLon': 121.59236, 'PositionLat': 23.9279, 'GeoHash': 'wsq2nguy5'}",2023-07-13T07:38:39+08:00,1790
HUA973－042,973－042,{'Zh_tw': '光華樂活創意園區(市區公車)'},"{'PositionLon': 121.59449, 'PositionLat': 23.9361, 'GeoHash': 'wsq2nvqmu'}",2023-07-13T07:38:39+08:00,1790
HUA973－043,973－043,{'Zh_tw': '阿美麻糬(市區公車)'},"{'PositionLon': 121.59785, 'PositionLat': 23.9474, 'GeoHash': 'wsq2pp2ze'}",2023-07-13T07:38:39+08:00,1790
HUA973－044,973－044,{'Zh_tw': '仁安社區(市區公車)'},"{'PositionLon': 121.599834, 'PositionLat': 23.951629, 'GeoHash': 'wsq2r0623'}",2023-07-13T07:38:39+08:00,1790
HUA973－045,973－045,{'Zh_tw': '燕聲廣播(市區公車)'},"{'PositionLon': 121.601388, 'PositionLat': 23.955851, 'GeoHash': 'wsq2r152v'}",2023-07-13T07:38:39+08:00,1790
HUA973－046,973－046,{'Zh_tw': '武聖宮(榮光社區)(市區公車)'},"{'PositionLon': 121.60456, 'PositionLat': 23.9618, 'GeoHash': 'wsq2r4jex'}",2023-07-13T07:38:39+08:00,1790
HUA973－047,973－047,{'Zh_tw': '吉安鄉公所(慶修院)'},"{'PositionLon': 121.563399, 'PositionLat': 23.973846, 'GeoHash': 'wsq2qhrcb'}",2023-07-13T07:38:39+08:00,1790
HUA973－048,973－048,{'Zh_tw': '新天堂樂園(市區公車)'},"{'PositionLon': 121.594187, 'PositionLat': 23.938888, 'GeoHash': 'wsq2nvynj'}",2023-07-13T07:38:39+08:00,1790
HUA973－050,973－050,{'Zh_tw': '建國北昌五街口'},"{'PositionLon': 121.589869, 'PositionLat': 23.986374, 'GeoHash': 'wsq2qye4c'}",2023-07-13T07:38:39+08:00,1790
HUA973－051,973－051,{'Zh_tw': '建國北昌四街口'},"{'PositionLon': 121.589871, 'PositionLat': 23.986398, 'GeoHash': 'wsq2qye4c'}",2023-07-13T07:38:39+08:00,1790
HUA973－052,973－052,{'Zh_tw': '建國自立路口'},"{'PositionLon': 121.59574, 'PositionLat': 23.984816, 'GeoHash': 'wsq2qyr3d'}",2023-07-13T07:38:39+08:00,1790
HUA973－053,973－053,{'Zh_tw': '花蓮高農'},"{'PositionLon': 121.600241, 'PositionLat': 23.984, 'GeoHash': 'wsq2rn4sf'}",2023-07-13T07:38:39+08:00,1790
HUA973－054,973－054,{'Zh_tw': '北昌國小'},"{'PositionLon': 121.591884, 'PositionLat': 23.986873, 'GeoHash': 'wsq2qyst8'}",2023-07-13T07:38:39+08:00,1790
HUA973－055,973－055,{'Zh_tw': '好客藝術村'},"{'PositionLon': 121.566395, 'PositionLat': 23.978431, 'GeoHash': 'wsq2qm1uq'}",2023-07-13T07:38:39+08:00,1790
HUA973－056,973－056,{'Zh_tw': '花蓮果菜市場'},"{'PositionLon': 121.585695, 'PositionLat': 23.9836, 'GeoHash': 'wsq2qy048'}",2023-07-13T07:38:39+08:00,1790
HUA973－057,973－057,{'Zh_tw': '中山三慶豐七街口'},"{'PositionLon': 121.569861, 'PositionLat': 23.978444, 'GeoHash': 'wsq2qmhkx'}",2023-07-13T07:38:39+08:00,1790
HUA973－058,973－058,{'Zh_tw': '上騰高商'},"{'PositionLon': 121.560914, 'PositionLat': 23.969945, 'GeoHash': 'wsq2q5tgn'}",2023-07-13T07:38:39+08:00,1790
HUA973－059,973－059,{'Zh_tw': '福興'},"{'PositionLon': 121.559339, 'PositionLat': 23.967367, 'GeoHash': 'wsq2q5hu1'}",2023-07-13T07:38:39+08:00,1790
HUA973－060,973－060,{'Zh_tw': '大陸麵店'},"{'PositionLon': 121.548437, 'PositionLat': 23.950482, 'GeoHash': 'wsq2mbhce'}",2023-07-13T07:38:39+08:00,1790
HUA973－061,973－061,{'Zh_tw': '南華國小'},"{'PositionLon': 121.547876, 'PositionLat': 23.947773, 'GeoHash': 'wsq2jzs3y'}",2023-07-13T07:38:39+08:00,1790
HUA973－062,973－062,{'Zh_tw': '秧悅酒店'},"{'PositionLon': 121.547605, 'PositionLat': 23.945062, 'GeoHash': 'wsq2jzh60'}",2023-07-13T07:38:39+08:00,1790
