PlateNumb,OperatorCode,VehicleType,HasLiftOrRamp,UpdateTime
453-FD,,0,False,2019-01-18T16:38:45+08:00
569-FD,,0,False,2019-01-18T16:38:45+08:00
819-XH,,0,False,2019-01-18T16:38:45+08:00
933-U5,,0,False,2019-01-18T16:38:45+08:00
AH-885,,0,False,2019-01-18T16:38:45+08:00
921-U5,,0,False,2019-01-18T16:38:45+08:00
038-FL,,0,False,2019-01-18T16:38:45+08:00
370-U6,,0,False,2019-01-18T16:38:45+08:00
FAB-898,,0,False,2019-01-18T16:38:45+08:00
531-U7,,0,False,2019-01-18T16:38:45+08:00
KKA-1171,,0,False,2019-01-18T16:38:45+08:00
FAB-310,,0,False,2019-01-18T16:38:45+08:00
829-FM,,0,False,2019-01-18T16:38:45+08:00
265-FT,,0,False,2019-01-18T16:38:45+08:00
998-FN,,0,False,2019-01-18T16:38:45+08:00
721-FG,,0,False,2019-01-18T16:38:45+08:00
KKA-1121,,0,False,2019-01-18T16:38:45+08:00
623-FQ,,0,False,2019-01-18T16:38:45+08:00
579-FY,,0,False,2019-01-18T16:38:45+08:00
997-U5,,0,False,2019-01-18T16:38:45+08:00
255-U5,,0,False,2019-01-18T16:38:45+08:00
330-FN,,0,False,2019-01-18T16:38:45+08:00
829-FU,,0,False,2019-01-18T16:38:45+08:00
561-FW,,1,False,2019-01-18T16:38:45+08:00
428-FQ,,0,False,2019-01-18T16:38:45+08:00
249-U5,,0,False,2019-01-18T16:38:45+08:00
423-FN,,0,False,2019-01-18T16:38:45+08:00
471-FE,,0,False,2019-01-18T16:38:45+08:00
756-U9,,0,False,2019-01-18T16:38:45+08:00
097-U7,,0,False,2019-01-18T16:38:45+08:00
FAB-676,,0,False,2019-01-18T16:38:45+08:00
742-FG,,0,False,2019-01-18T16:38:45+08:00
633-FD,,0,False,2019-01-18T16:38:45+08:00
377-FS,,0,False,2019-01-18T16:38:45+08:00
025-FZ,,0,False,2019-01-18T16:38:45+08:00
161-U9,,0,False,2019-01-18T16:38:45+08:00
885-FR,,0,False,2019-01-18T16:38:45+08:00
FAB-830,,0,False,2019-01-18T16:38:45+08:00
802-FP,,0,False,2019-01-18T16:38:45+08:00
805-FS,,0,False,2019-01-18T16:38:45+08:00
376-U5,,0,False,2019-01-18T16:38:45+08:00
322-FG,,0,False,2019-01-18T16:38:45+08:00
KKA-1688,,0,False,2019-01-18T16:38:45+08:00
129-FL,,0,False,2019-01-18T16:38:45+08:00
983-FY,,0,False,2019-01-18T16:38:45+08:00
552-FT,,0,False,2019-01-18T16:38:45+08:00
726-XH,,0,False,2019-01-18T16:38:45+08:00
689-FQ,,0,False,2019-01-18T16:38:45+08:00
820-FS,,0,False,2019-01-18T16:38:45+08:00
915-FC,,0,False,2019-01-18T16:38:45+08:00
985-FS,,1,False,2019-01-18T16:38:45+08:00
836-FB,,0,False,2019-01-18T16:38:45+08:00
925-U5,,0,False,2019-01-18T16:38:45+08:00
622-FC,,0,False,2019-01-18T16:38:45+08:00
759-FY,,0,False,2019-01-18T16:38:45+08:00
390-U5,,0,False,2019-01-18T16:38:45+08:00
957-FT,,0,False,2019-01-18T16:38:45+08:00
966-FS,,0,False,2019-01-18T16:38:45+08:00
378-FC,,0,False,2019-01-18T16:38:45+08:00
267-AC,,0,False,2019-01-18T16:38:45+08:00
863-U7,,0,False,2019-01-18T16:38:45+08:00
878-U7,,0,False,2019-01-18T16:38:45+08:00
045-FL,,0,False,2019-01-18T16:38:45+08:00
937-FS,,0,False,2019-01-18T16:38:45+08:00
526-FN,,0,False,2019-01-18T16:38:45+08:00
188-FN,,0,False,2019-01-18T16:38:45+08:00
192-FC,,0,False,2019-01-18T16:38:45+08:00
KKA-1768,,1,True,2019-01-18T16:38:45+08:00
KKA-2609,,0,False,2019-01-18T16:38:45+08:00
507-V2,,0,False,2019-01-18T16:38:45+08:00
761-U3,,0,False,2019-01-18T16:38:45+08:00
253-FT,,0,False,2019-01-18T16:38:45+08:00
958-FS,,0,False,2019-01-18T16:38:45+08:00
KKA-0233,,0,False,2019-01-18T16:38:45+08:00
596-FX,,0,False,2019-01-18T16:38:45+08:00
123-U9,,0,False,2019-01-18T16:38:45+08:00
922-FS,,0,False,2019-01-18T16:38:45+08:00
828-U5,,0,False,2019-01-18T16:38:45+08:00
688-FD,,0,False,2019-01-18T16:38:45+08:00
FAF-501,,0,False,2019-01-18T16:38:45+08:00
196-U6,,0,False,2019-01-18T16:38:45+08:00
KKA-7610,,0,False,2019-01-18T16:38:45+08:00
869-FP,,0,False,2019-01-18T16:38:45+08:00
261-U7,,0,False,2019-01-18T16:38:45+08:00
352-U5,,0,False,2019-01-18T16:38:45+08:00
869-FW,,0,False,2019-01-18T16:38:45+08:00
482-FU,,0,False,2019-01-18T16:38:45+08:00
898-XH,,0,False,2019-01-18T16:38:45+08:00
385-FS,,0,False,2019-01-18T16:38:45+08:00
625-V2,,0,False,2019-01-18T16:38:45+08:00
XB-002,,0,False,2019-01-18T16:38:45+08:00
FAD-875,,0,False,2019-01-18T16:38:45+08:00
525-FN,,0,False,2019-01-18T16:38:45+08:00
908-FN,,0,False,2019-01-18T16:38:45+08:00
645-FZ,,1,False,2019-01-18T16:38:45+08:00
380-NN,,0,False,2019-01-18T16:38:45+08:00
FAD-513,,0,False,2019-01-18T16:38:45+08:00
072-FN,,0,False,2019-01-18T16:38:45+08:00
KKA-2579,,0,False,2019-01-18T16:38:45+08:00
802-U5,,0,False,2019-01-18T16:38:45+08:00
FAB-080,,0,False,2019-01-18T16:38:45+08:00
787-FN,,0,False,2019-01-18T16:38:45+08:00
617-U9,,0,False,2019-01-18T16:38:45+08:00
407-FT,,0,False,2019-01-18T16:38:45+08:00
791-U9,,0,False,2019-01-18T16:38:45+08:00
839-FY,,0,False,2019-01-18T16:38:45+08:00
145-FZ,,0,False,2019-01-18T16:38:45+08:00
366-U6,,0,False,2019-01-18T16:38:45+08:00
382-FN,,0,False,2019-01-18T16:38:45+08:00
967-FL,,0,False,2019-01-18T16:38:45+08:00
585-U9,,0,False,2019-01-18T16:38:45+08:00
785-FT,,0,False,2019-01-18T16:38:45+08:00
209-U5,,0,False,2019-01-18T16:38:45+08:00
FAD-125,,0,False,2019-01-18T16:38:45+08:00
