RouteUID,RouteID,RouteName
KHH210,210,紅35
KHH2533,2533,紅70B(延駛隆后宮)
KHH253,253,紅70A
KHH248,248,248
KHH33,33,33(6:33以後繞駛後指部)
KHH26,26,26A
KHH25,25,25
KHH2113,2113,紅3D林園幹線(不經西溪里.宏平路)
KHH210,210,紅35
KHH33,33,33(6:33以後繞駛後指部)
KHH291,291,29
KHH301,301,301
KHH30,30,30
KHH3011,3011,301區間車
KHH3,3,3
KHH30,30,30
KHH291,291,29
KHH301,301,301
KHH371,371,37(育英發車)
KHH214,214,214
KHH2181,2181,218B內惟幹線(繞駛合群社區)
KHH3011,3011,301區間車
KHH3,3,3
KHH214,214,214
KHH371,371,37(育英發車)
KHH3621,3621,紅8B(去繞昭明)
KHH35,35,35
KHH2181,2181,218B內惟幹線(繞駛合群社區)
KHH3623,3623,紅8C(返繞昭明)
KHH3624,3624,紅8E
KHH3621,3621,紅8B(去繞昭明)
KHH35,35,35
KHH362,362,紅8A
KHH3624,3624,紅8E
KHH3623,3623,紅8C(返繞昭明)
KHH50,50,50五福幹線
KHH221,221,紅73A
KHH243,243,24A(平日停駛)
KHH362,362,紅8A
KHH38,38,38A
KHH50,50,50五福幹線
KHH4134,4134,JOY H11區間(旗山-新開不老溫泉)
KHH39,39,39
KHH221,221,紅73A
KHH243,243,24A(平日停駛)
KHH411,411,JOY H11
KHH38,38,38A
KHH39,39,39
KHH4134,4134,JOY H11區間(旗山-新開不老溫泉)
KHH52,52,52A
KHH382,382,38C(返繞鼓山三路)
KHH411,411,JOY H11
KHH2482,2482,248區間車
KHH52,52,52A
KHH509,509,E09鳳山燕巢城市快線
KHH382,382,38C(返繞鼓山三路)
KHH2482,2482,248區間車
KHH510,510,E10小港燕巢城市快線
KHH260,260,26B
KHH503,503,E03燕巢快線
KHH6001,6001,60覺民幹線區間車
KHH260,260,26B
KHH510,510,E10小港燕巢城市快線
KHH509,509,E09鳳山燕巢城市快線
KHH503,503,E03燕巢快線
KHH292,292,29區間車
KHH5091,5091,E09(假日行駛)
KHH504,504,E04燕巢學園快線
KHH6001,6001,60覺民幹線區間車
KHH5091,5091,E09(假日行駛)
KHH6,6,6
KHH31,31,3繞(17時以後改道文信路)
KHH292,292,29區間車
KHH504,504,E04燕巢學園快線
KHH56,56,56
KHH523,523,52C
KHH561,561,56區間車
KHH523,523,52C
KHH56,56,56
KHH6,6,6
KHH61,61,6(建楠路發車)
KHH31,31,3繞(17時以後改道文信路)
KHH532,532,53B
KHH36,36,36
KHH61,61,6(建楠路發車)
KHH561,561,56區間車
KHH532,532,53B
KHH6022,6022,黃2C
KHH604,604,E01A旗美國道快捷
KHH601,601,黃1
KHH37,37,37
KHH36,36,36
KHH603,603,E01B旗美國道快捷
KHH70,70,70A三多幹線(部分延駛澄清湖)
KHH6022,6022,黃2C
KHH604,604,E01A旗美國道快捷
KHH601,601,黃1
