CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-N3K-S-0.27-M,NFB,20.10.2,3000260000291C,道路新增,錯誤修正,,['3000260100118C'],"[{'LinkID': '3000260100118C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-N3K-N-2.355-M,NFB,20.10.2,3000260100322C,道路新增,錯誤修正,,['3000260000290C'],"[{'LinkID': '3000260000290C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-N3K-S-2.14-M,NFB,20.10.2,3000260100290C,道路新增,錯誤修正,,['3000260000118C'],"[{'LinkID': '3000260000118C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-N3K-S-3.11-M,NFB,20.10.2,3000260000402C,道路新增,錯誤修正,,['3000260100358C'],"[{'LinkID': '3000260100358C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-T64-E-14.87-M,NFB,20.10.2,3000102000505F,道路新增,錯誤修正,,['3000102000506F'],"[{'LinkID': '3000102000506F', 'RoadID': '300010', 'RoadName': '台1線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-N3K-N-0.28-M,NFB,20.10.2,3000260000118C,道路新增,錯誤修正,,['3000260100071C'],"[{'LinkID': '3000260100071C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-N3K-N-0.52-M,NFB,20.10.2,3000260100290C,道路新增,錯誤修正,,['3000260000118C'],"[{'LinkID': '3000260000118C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-N3-N-72.5-M,NFB,21.08.1,0000300107200H,道路新增,道路分段,,['0000300107202H'],"[{'LinkID': '0000300107202H', 'RoadID': '000030', 'RoadName': '國道3號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '22.02.1', 'UpdateDate': '2022-02-15'}]"
CCTV-N3-S-73-M,NFB,21.08.1,0000300007300H,道路新增,道路分段,,['0000300007300H'],"[{'LinkID': '0000300007300H', 'RoadID': '000030', 'RoadName': '國道3號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '22.02.1', 'UpdateDate': '2022-02-15'}]"
CCTV-T64-E-0.58-M,NFB,22.02.1,1006400000000F,道路新增,道路分段,,['1006400000000F'],"[{'LinkID': '1006400000000F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
CCTV-N1-N-50.1-M,NFB,22.02.1,0000100105000H,道路新增,道路分段,,['0000100105046H'],"[{'LinkID': '0000100105046H', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
CCTV-N4-W-16.6-M,NFB,22.02.1,0000400101600B,道路新增,道路分段,,['0000400101681B'],"[{'LinkID': '0000400101681B', 'RoadID': '000040', 'RoadName': '國道4號', 'RoadClass': 0, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
CCTV-N1-S-51-M,NFB,22.02.1,0000100005000H,道路新增,道路分段,,['0000100005000H'],"[{'LinkID': '0000100005000H', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
CCTV-N2-E-0.4-M,NFB,22.09.1,0000200000000H,道路異動,數化精進,"StartNode,Length",['0000200000000H'],"[{'LinkID': '0000200000000H', 'RoadID': '000020', 'RoadName': '國道2號', 'RoadClass': 0, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '23.05.1', 'UpdateDate': '2023-05-05'}]"
CCTV-N2-W-1-M,NFB,22.09.1,0000200100000H,道路異動,數化精進,"EndNode,Length",['0000200100000H'],"[{'LinkID': '0000200100000H', 'RoadID': '000020', 'RoadName': '國道2號', 'RoadClass': 0, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '23.05.1', 'UpdateDate': '2023-05-05'}]"
