StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
YUN640－117,640－117,{'Zh_tw': '台電公司雲林區處(市區公車)'},"{'PositionLon': 120.532229, 'PositionLat': 23.712152, 'GeoHash': 'wsjwyu8vk'}",2023-07-13T07:38:39+08:00,1790
YUN640－118,640－118,{'Zh_tw': '台電大樓(市區公車)'},"{'PositionLon': 120.535235, 'PositionLat': 23.7121, 'GeoHash': 'wsjwyuehf'}",2023-07-13T07:38:39+08:00,1790
YUN640－119,640－119,{'Zh_tw': '斗六高中(文化路)(市區公車)'},"{'PositionLon': 120.545873, 'PositionLat': 23.71095, 'GeoHash': 'wsjwzh6y6'}",2023-07-13T07:38:39+08:00,1790
YUN640－120,640－120,{'Zh_tw': '洪揚醫院(市區公車)'},"{'PositionLon': 120.549978, 'PositionLat': 23.711139, 'GeoHash': 'wsjwzhmz6'}",2023-07-13T07:38:39+08:00,1790
YUN640－121,640－121,{'Zh_tw': '斗六國中(市區公車)'},"{'PositionLon': 120.551327, 'PositionLat': 23.713256, 'GeoHash': 'wsjwzhyg9'}",2023-07-13T07:38:39+08:00,1790
YUN640－122,640－122,{'Zh_tw': '育英北街路口(市區公車)'},"{'PositionLon': 120.550309, 'PositionLat': 23.717855, 'GeoHash': 'wsjwzjwn9'}",2023-07-13T07:38:39+08:00,1790
YUN640－123,640－123,{'Zh_tw': '明德北路一段路口(市區公車)'},"{'PositionLon': 120.543164, 'PositionLat': 23.718409, 'GeoHash': 'wsjwzjbce'}",2023-07-13T07:38:39+08:00,1790
YUN640－124,640－124,{'Zh_tw': '萬年路173巷口(市區公車)'},"{'PositionLon': 120.545823, 'PositionLat': 23.72334, 'GeoHash': 'wsjwzndy3'}",2023-07-13T07:38:39+08:00,1790
YUN640－125,640－125,{'Zh_tw': '萬年庄(市區公車)'},"{'PositionLon': 120.551611, 'PositionLat': 23.729742, 'GeoHash': 'wsjwzpz5b'}",2023-07-13T07:38:39+08:00,1790
YUN640－126,640－126,{'Zh_tw': '雲科工業區服務中心'},"{'PositionLon': 120.546098, 'PositionLat': 23.735037, 'GeoHash': 'wsjxp0ffx'}",2023-07-13T07:38:39+08:00,1790
YUN640－127,640－127,{'Zh_tw': '虎溪豐泰(市區公車)'},"{'PositionLon': 120.524234, 'PositionLat': 23.724965, 'GeoHash': 'wsjwywgpf'}",2023-07-13T07:38:39+08:00,1790
YUN640－128,640－128,{'Zh_tw': '虎溪里(市區公車)'},"{'PositionLon': 120.522994, 'PositionLat': 23.7225, 'GeoHash': 'wsjwywd1t'}",2023-07-13T07:38:39+08:00,1790
YUN640－129,640－129,{'Zh_tw': '紅厝社區(市區公車)'},"{'PositionLon': 120.517612, 'PositionLat': 23.720929, 'GeoHash': 'wsjwyqq0r'}",2023-07-13T07:38:39+08:00,1790
YUN640－130,640－130,{'Zh_tw': '崙仔集會所(市區公車)'},"{'PositionLon': 120.511454, 'PositionLat': 23.7197, 'GeoHash': 'wsjwyq1c2'}",2023-07-13T07:38:39+08:00,1790
YUN646－001,646－001,{'Zh_tw': '外湖'},"{'PositionLon': 120.680565, 'PositionLat': 23.60565, 'GeoHash': 'wsjy61kbu'}",2023-07-13T07:38:39+08:00,1790
YUN646－014,646－014,{'Zh_tw': '草嶺公園'},"{'PositionLon': 120.6956835, 'PositionLat': 23.585101, 'GeoHash': 'wsjy4mxcj'}",2023-07-13T07:38:39+08:00,1790
YUN646－015,646－015,{'Zh_tw': '綠色隧道'},"{'PositionLon': 120.542567, 'PositionLat': 23.657116, 'GeoHash': 'wsjwx48kt'}",2023-07-13T07:38:39+08:00,1790
YUN646－016,646－016,{'Zh_tw': '福祿壽酒廠'},"{'PositionLon': 120.5605405, 'PositionLat': 23.640365, 'GeoHash': 'wsjwrrte0'}",2023-07-13T07:38:39+08:00,1790
YUN646－017,646－017,{'Zh_tw': '永光故事屋'},"{'PositionLon': 120.554301, 'PositionLat': 23.624756, 'GeoHash': 'wsjwrkbbn'}",2023-07-13T07:38:39+08:00,1790
YUN646－018,646－018,{'Zh_tw': '劍湖山世界'},"{'PositionLon': 120.577285, 'PositionLat': 23.614585, 'GeoHash': 'wsjwrfcsy'}",2023-07-13T07:38:39+08:00,1790
YUN646－019,646－019,{'Zh_tw': '華山咖啡大街'},"{'PositionLon': 120.59888, 'PositionLat': 23.59555, 'GeoHash': 'wsjy0r3qj'}",2023-07-13T07:38:39+08:00,1790
YUN646－020,646－020,{'Zh_tw': '荷苞厝'},"{'PositionLon': 120.579995, 'PositionLat': 23.6678915, 'GeoHash': 'wsjwxueem'}",2023-07-13T07:38:39+08:00,1790
YUN646－021,646－021,{'Zh_tw': '荷苞山桐花公園'},"{'PositionLon': 120.586669, 'PositionLat': 23.664182, 'GeoHash': 'wsjy85btc'}",2023-07-13T07:38:39+08:00,1790
YUN646－022,646－022,{'Zh_tw': '二坪仔'},"{'PositionLon': 120.612251, 'PositionLat': 23.647832, 'GeoHash': 'wsjy88gnt'}",2023-07-13T07:38:39+08:00,1790
YUN646－023,646－023,{'Zh_tw': '早寮'},"{'PositionLon': 120.5948955, 'PositionLat': 23.6553595, 'GeoHash': 'wsjy84qd2'}",2023-07-13T07:38:39+08:00,1790
YUN646－024,646－024,{'Zh_tw': '新草嶺國小'},"{'PositionLon': 120.6941165, 'PositionLat': 23.586938, 'GeoHash': 'wsjy4mygb'}",2023-07-13T07:38:39+08:00,1790
YUN646－025,646－025,{'Zh_tw': '東𤧥山莊'},"{'PositionLon': 120.7098835, 'PositionLat': 23.6096455, 'GeoHash': 'wsjy6f420'}",2023-07-13T07:38:39+08:00,1790
YUN646－051,646－051,{'Zh_tw': '東和'},"{'PositionLon': 120.569275761912, 'PositionLat': 23.6834746955002, 'GeoHash': 'wsjwxx7y5'}",2023-07-13T07:38:39+08:00,1790
YUN646－065,646－065,{'Zh_tw': '內湖'},"{'PositionLon': 120.68687, 'PositionLat': 23.65193, 'GeoHash': 'wsjyd39qr'}",2023-07-13T07:38:39+08:00,1790
YUN646－091,646－091,{'Zh_tw': '草嶺站(市區公車)'},"{'PositionLon': 120.693618, 'PositionLat': 23.581512, 'GeoHash': 'wsjy4kykm'}",2023-07-13T07:38:39+08:00,1790
YUN646－092,646－092,{'Zh_tw': '古坑嘉興宮'},"{'PositionLon': 120.561964, 'PositionLat': 23.645428, 'GeoHash': 'wsjwx2w89'}",2023-07-13T07:38:39+08:00,1790
YUN647－004,647－004,{'Zh_tw': '大美瓦斯廠'},"{'PositionLon': 120.506813, 'PositionLat': 23.7349215, 'GeoHash': 'wsjxn0y3u'}",2023-07-13T07:38:39+08:00,1790
YUN647－005,647－005,{'Zh_tw': '大美'},"{'PositionLon': 120.5147055, 'PositionLat': 23.737285, 'GeoHash': 'wsjxn3hps'}",2023-07-13T07:38:39+08:00,1790
YUN647－006,647－006,{'Zh_tw': '正心中學'},"{'PositionLon': 120.5295455, 'PositionLat': 23.716686, 'GeoHash': 'wsjwytqzt'}",2023-07-13T07:38:39+08:00,1790
YUN651－012,651－012,{'Zh_tw': '媽祖醫院'},"{'PositionLon': 120.307689, 'PositionLat': 23.5891685, 'GeoHash': 'wsjw1wm2u'}",2023-07-13T07:38:39+08:00,1790
YUN651－013,651－013,{'Zh_tw': '北港'},"{'PositionLon': 120.3009375, 'PositionLat': 23.569937, 'GeoHash': 'wsjw1db2z'}",2023-07-13T07:38:39+08:00,1790
YUN651－035,651－035,{'Zh_tw': '北港第二停車場'},"{'PositionLon': 120.299983, 'PositionLat': 23.5714575, 'GeoHash': 'wsjw17pc8'}",2023-07-13T07:38:39+08:00,1790
YUN651－036,651－036,{'Zh_tw': '府番'},"{'PositionLon': 120.322458, 'PositionLat': 23.5956785, 'GeoHash': 'wsjw4p2nu'}",2023-07-13T07:38:39+08:00,1790
YUN651－037,651－037,{'Zh_tw': '北港朝天宮'},"{'PositionLon': 120.302285, 'PositionLat': 23.568089, 'GeoHash': 'wsjw1d3qn'}",2023-07-13T07:38:39+08:00,1790
YUN651－038,651－038,{'Zh_tw': '新街里活動中心(市區公車)'},"{'PositionLon': 120.300559, 'PositionLat': 23.582421, 'GeoHash': 'wsjw1t01w'}",2023-07-13T07:38:39+08:00,1790
YUN651－039,651－039,{'Zh_tw': '北港武德宮'},"{'PositionLon': 120.29857, 'PositionLat': 23.58121, 'GeoHash': 'wsjw1kydx'}",2023-07-13T07:38:39+08:00,1790
