StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
THB104－012,104－012,{'Zh_tw': '民權龍江路口'},"{'PositionLon': 121.5403535, 'PositionLat': 25.0624435, 'GeoHash': 'wsqqtdqzr'}",2023-07-13T07:38:39+08:00,1790
THB104－013,104－013,{'Zh_tw': '松江新村'},"{'PositionLon': 121.5331785, 'PositionLat': 25.060933, 'GeoHash': 'wsqqtd1y8'}",2023-07-13T07:38:39+08:00,1790
THB104－014,104－014,{'Zh_tw': '中山分局'},"{'PositionLon': 121.522452, 'PositionLat': 25.052686, 'GeoHash': 'wsqqt29yq'}",2023-07-13T07:38:39+08:00,1790
THB104－015,104－015,{'Zh_tw': '行天宮'},"{'PositionLon': 121.533082, 'PositionLat': 25.064417, 'GeoHash': 'wsqqtdcdy'}",2023-07-13T07:38:39+08:00,1790
THB104－017,104－017,{'Zh_tw': '捷運行天宮站'},"{'PositionLon': 121.533269666667, 'PositionLat': 25.062509, 'GeoHash': 'wsqqtd3zd'}",2023-07-13T07:38:39+08:00,1790
THB104－018,104－018,{'Zh_tw': '民生松江路口'},"{'PositionLon': 121.5346, 'PositionLat': 25.05772, 'GeoHash': 'wsqqt9dgc'}",2023-07-13T07:38:39+08:00,1790
THB104－020,104－020,{'Zh_tw': '捷運松江南京站'},"{'PositionLon': 121.533134, 'PositionLat': 25.051587, 'GeoHash': 'wsqqt898p'}",2023-07-13T07:38:39+08:00,1790
THB104－021,104－021,{'Zh_tw': '圓山轉運站'},"{'PositionLon': 121.5201975, 'PositionLat': 25.0716735, 'GeoHash': 'wsqqtk0m1'}",2023-07-13T07:38:39+08:00,1790
THB104－022,104－022,{'Zh_tw': '民權吉林路口'},"{'PositionLon': 121.52955, 'PositionLat': 25.062485, 'GeoHash': 'wsqqt6rpe'}",2023-07-13T07:38:39+08:00,1790
THB104－023,104－023,{'Zh_tw': '台北大學(臺北校區)'},"{'PositionLon': 121.542285, 'PositionLat': 25.057795, 'GeoHash': 'wsqqtc8kh'}",2023-07-13T07:38:39+08:00,1790
THB104－024,104－024,{'Zh_tw': '捷運圓山站(玉門)'},"{'PositionLon': 121.520435, 'PositionLat': 25.072347, 'GeoHash': 'wsqqtk23p'}",2023-07-13T07:38:39+08:00,1790
THB104－025,104－025,{'Zh_tw': '捷運劍南路站'},"{'PositionLon': 121.55505, 'PositionLat': 25.08445, 'GeoHash': 'wsqqwn3xt'}",2023-07-13T07:38:39+08:00,1790
THB104－026,104－026,{'Zh_tw': '中山國中'},"{'PositionLon': 121.54398, 'PositionLat': 25.06133, 'GeoHash': 'wsqqtf38u'}",2023-07-13T07:38:39+08:00,1790
THB104－027,104－027,{'Zh_tw': '臺北市立美術館'},"{'PositionLon': 121.523585, 'PositionLat': 25.071155, 'GeoHash': 'wsqqtk4f0'}",2023-07-13T07:38:39+08:00,1790
THB104－028,104－028,{'Zh_tw': '進安公園'},"{'PositionLon': 121.5374425, 'PositionLat': 25.0461545, 'GeoHash': 'wsqqmxsb7'}",2023-07-13T07:38:39+08:00,1790
THB104－030,104－030,{'Zh_tw': '國賓飯店'},"{'PositionLon': 121.52292, 'PositionLat': 25.05615, 'GeoHash': 'wsqqt3669'}",2023-07-13T07:38:39+08:00,1790
THB104－031,104－031,{'Zh_tw': '臺泥大樓(馬偕醫院)'},"{'PositionLon': 121.5228, 'PositionLat': 25.061155, 'GeoHash': 'wsqqt64py'}",2023-07-13T07:38:39+08:00,1790
THB104－036,104－036,{'Zh_tw': '建國錦州街口'},"{'PositionLon': 121.53674, 'PositionLat': 25.06065, 'GeoHash': 'wsqqtdhkg'}",2023-07-13T07:38:39+08:00,1790
THB104－037,104－037,{'Zh_tw': '興安華城'},"{'PositionLon': 121.544, 'PositionLat': 25.0569, 'GeoHash': 'wsqqtc3xh'}",2023-07-13T07:38:39+08:00,1790
THB104－041,104－041,{'Zh_tw': '晶華酒店'},"{'PositionLon': 121.52283, 'PositionLat': 25.05413, 'GeoHash': 'wsqqt2fnz'}",2023-07-13T07:38:39+08:00,1790
THB104－042,104－042,{'Zh_tw': '長安松江路口'},"{'PositionLon': 121.53306, 'PositionLat': 25.048227, 'GeoHash': 'wsqqmxcsm'}",2023-07-13T07:38:39+08:00,1790
THB104－043,104－043,{'Zh_tw': '長春松江路口'},"{'PositionLon': 121.533172, 'PositionLat': 25.054519, 'GeoHash': 'wsqqt91c0'}",2023-07-13T07:38:39+08:00,1790
THB104－044,104－044,{'Zh_tw': '捷運行天宮站'},"{'PositionLon': 121.5331121, 'PositionLat': 25.057668, 'GeoHash': 'wsqqt99eq'}",2023-07-13T07:38:39+08:00,1790
THB104－045,104－045,{'Zh_tw': '華國洲際飯店'},"{'PositionLon': 121.52586, 'PositionLat': 25.0657, 'GeoHash': 'wsqqt7h6m'}",2023-07-13T07:38:39+08:00,1790
THB104－048,104－048,{'Zh_tw': '中興中學'},"{'PositionLon': 121.54301765, 'PositionLat': 25.04828435, 'GeoHash': 'wsqqmzbuv'}",2023-07-13T07:38:39+08:00,1790
THB104－050,104－050,{'Zh_tw': '南京林森路口'},"{'PositionLon': 121.5251022, 'PositionLat': 25.052106, 'GeoHash': 'wsqqt2egh'}",2023-07-13T07:38:39+08:00,1790
THB104－051,104－051,{'Zh_tw': '南京吉林路口'},"{'PositionLon': 121.52976, 'PositionLat': 25.05202, 'GeoHash': 'wsqqt2x68'}",2023-07-13T07:38:39+08:00,1790
THB104－052,104－052,{'Zh_tw': '捷運松江南京站'},"{'PositionLon': 121.533097, 'PositionLat': 25.0520615, 'GeoHash': 'wsqqt89dy'}",2023-07-13T07:38:39+08:00,1790
THB104－053,104－053,{'Zh_tw': '南京建國路口'},"{'PositionLon': 121.536895, 'PositionLat': 25.051995, 'GeoHash': 'wsqqt8s6q'}",2023-07-13T07:38:39+08:00,1790
THB104－054,104－054,{'Zh_tw': '華泰飯店'},"{'PositionLon': 121.524405, 'PositionLat': 25.058035, 'GeoHash': 'wsqqt3eme'}",2023-07-13T07:38:39+08:00,1790
THB104－059,104－059,{'Zh_tw': '長安東路二段'},"{'PositionLon': 121.533216, 'PositionLat': 25.049541, 'GeoHash': 'wsqqt81u1'}",2023-07-13T07:38:39+08:00,1790
THB104－060,104－060,{'Zh_tw': '松江長春路口'},"{'PositionLon': 121.533232, 'PositionLat': 25.055458, 'GeoHash': 'wsqqt91y9'}",2023-07-13T07:38:39+08:00,1790
THB104－061,104－061,{'Zh_tw': '聚盛里'},"{'PositionLon': 121.52554, 'PositionLat': 25.05884, 'GeoHash': 'wsqqt3u4q'}",2023-07-13T07:38:39+08:00,1790
THB105－001,105－001,{'Zh_tw': '民權敦化路口'},"{'PositionLon': 121.547999725783, 'PositionLat': 25.0621368317891, 'GeoHash': 'wsqqtfkt9'}",2023-07-13T07:38:39+08:00,1790
THB105－003,105－003,{'Zh_tw': '松山車站(八德)'},"{'PositionLon': 121.57747375, 'PositionLat': 25.05004325, 'GeoHash': 'wsqqw84p0'}",2023-07-13T07:38:39+08:00,1790
THB105－005,105－005,{'Zh_tw': '慶城街口'},"{'PositionLon': 121.54538, 'PositionLat': 25.05451, 'GeoHash': 'wsqqtc49h'}",2023-07-13T07:38:39+08:00,1790
THB105－006,105－006,{'Zh_tw': '捷運南京復興站'},"{'PositionLon': 121.543753, 'PositionLat': 25.053529, 'GeoHash': 'wsqqtbc7q'}",2023-07-13T07:38:39+08:00,1790
THB105－010,105－010,{'Zh_tw': '長庚醫院'},"{'PositionLon': 121.54927, 'PositionLat': 25.05679, 'GeoHash': 'wsqqtcmqr'}",2023-07-13T07:38:39+08:00,1790
THB105－012,105－012,{'Zh_tw': '松山機場'},"{'PositionLon': 121.5521, 'PositionLat': 25.06343, 'GeoHash': 'wsqqtfxt1'}",2023-07-13T07:38:39+08:00,1790
THB105－013,105－013,{'Zh_tw': '松山機場'},"{'PositionLon': 121.55132, 'PositionLat': 25.06326, 'GeoHash': 'wsqqtfwup'}",2023-07-13T07:38:39+08:00,1790
THB105－014,105－014,{'Zh_tw': '臺安醫院'},"{'PositionLon': 121.5466398, 'PositionLat': 25.0481049, 'GeoHash': 'wsqqmzgec'}",2023-07-13T07:38:39+08:00,1790
THB105－015,105－015,{'Zh_tw': '美仁里'},"{'PositionLon': 121.554732, 'PositionLat': 25.048075, 'GeoHash': 'wsqqqpc7w'}",2023-07-13T07:38:39+08:00,1790
THB105－016,105－016,{'Zh_tw': '臺北市區監理所'},"{'PositionLon': 121.55989, 'PositionLat': 25.04839, 'GeoHash': 'wsqqqpvjq'}",2023-07-13T07:38:39+08:00,1790
THB105－017,105－017,{'Zh_tw': '八德東寧路口'},"{'PositionLon': 121.56455, 'PositionLat': 25.04888, 'GeoHash': 'wsqqw2087'}",2023-07-13T07:38:39+08:00,1790
THB105－018,105－018,{'Zh_tw': '南京敦化路口(小巨蛋)'},"{'PositionLon': 121.54914, 'PositionLat': 25.05166, 'GeoHash': 'wsqqtbt2k'}",2023-07-13T07:38:39+08:00,1790
THB105－019,105－019,{'Zh_tw': '南京寧安街口'},"{'PositionLon': 121.554383, 'PositionLat': 25.051635, 'GeoHash': 'wsqqw090q'}",2023-07-13T07:38:39+08:00,1790
THB105－020,105－020,{'Zh_tw': '南京三民路口'},"{'PositionLon': 121.56026, 'PositionLat': 25.0515, 'GeoHash': 'wsqqw0mrx'}",2023-07-13T07:38:39+08:00,1790
THB105－021,105－021,{'Zh_tw': '臺北小巨蛋'},"{'PositionLon': 121.548995, 'PositionLat': 25.05271, 'GeoHash': 'wsqqtbtq8'}",2023-07-13T07:38:39+08:00,1790
THB105－023,105－023,{'Zh_tw': '復興南路'},"{'PositionLon': 121.544, 'PositionLat': 25.04708, 'GeoHash': 'wsqqmz9tu'}",2023-07-13T07:38:39+08:00,1790
THB105－026,105－026,{'Zh_tw': '臺視'},"{'PositionLon': 121.55117, 'PositionLat': 25.0481, 'GeoHash': 'wsqqmzygg'}",2023-07-13T07:38:39+08:00,1790
