PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,Direction,CurrentStop,DestinationStop,StopSequence,StopStatus,IsLastBus,DataTime,TransTime,SrcRecTime,SrcUpdateTime,UpdateTime
,TNN22531,22531,"{'Zh_tw': '北勢蔗場', 'En': 'Beishih Jhechang'}",TNN1610,1610,"{'Zh_tw': '紅10', 'En': 'R10'}",255,,,51,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22530,22530,"{'Zh_tw': '北勢蔗場', 'En': 'Beishih Jhechang'}",TNN1610,1610,"{'Zh_tw': '紅10', 'En': 'R10'}",255,,,3,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10569,10569,"{'Zh_tw': '仁安路', 'En': 'Renan Rd.'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,36,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7349,7349,"{'Zh_tw': '新市', 'En': 'Sinshih'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,29,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10568,10568,"{'Zh_tw': '安南衛生所', 'En': 'An-Nan District Public Health Center'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,35,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7348,7348,"{'Zh_tw': '新市電信局', 'En': 'Sinshih Telecom Co. Ltd.'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,28,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10567,10567,"{'Zh_tw': '海東國小', 'En': 'Haidong Elementary School'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,34,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7347,7347,"{'Zh_tw': '新市火車站', 'En': 'Sinshih Train Station'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,27,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10566,10566,"{'Zh_tw': '安南國中', 'En': 'An-nan Junior High School'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,33,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10565,10565,"{'Zh_tw': '稅務局安南分局', 'En': 'Local Tax Bureau Annan Branch'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,32,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7345,7345,"{'Zh_tw': '車行', 'En': 'Chehang'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,26,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10564,10564,"{'Zh_tw': '安中路三段', 'En': 'Sec. 3 Anjhong Rd.'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,31,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7344,7344,"{'Zh_tw': '統一馬口鐵', 'En': 'Tonyi Industrial Corp.'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,25,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10563,10563,"{'Zh_tw': '安南區公所', 'En': 'An-Nan District Office'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,30,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7343,7343,"{'Zh_tw': '三新紡織', 'En': 'Sansin Textile Corp.'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,24,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10562,10562,"{'Zh_tw': '安中、安吉路口', 'En': 'Anjhong Rd. ＆ Anji Rd.'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,28,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7342,7342,"{'Zh_tw': '蔦松', 'En': 'Niaosong'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,23,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10561,10561,"{'Zh_tw': '埤圳邊', 'En': 'Bei-Zun-Bian'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,27,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7341,7341,"{'Zh_tw': '竹林里', 'En': 'Jhulin Vil.'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,22,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10560,10560,"{'Zh_tw': '和順國宅', 'En': 'He-Shun Public Housing'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,26,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7340,7340,"{'Zh_tw': '鹽行', 'En': 'Yanhang'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,21,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22521,22521,"{'Zh_tw': '大潤發', 'En': 'RT-Mart'}",TNN1816,1816,"{'Zh_tw': '橘9-1', 'En': 'O9-1'}",255,,,7,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22520,22520,"{'Zh_tw': '子龍廟', 'En': 'Zihlong Temple'}",TNN1816,1816,"{'Zh_tw': '橘9-1', 'En': 'O9-1'}",255,,,6,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10559,10559,"{'Zh_tw': '草湖寮', 'En': 'Cao-Hu-Liao'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,25,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7339,7339,"{'Zh_tw': '南鹽行', 'En': 'South Yanhang'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,20,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10558,10558,"{'Zh_tw': '安中路一段', 'En': 'Sec. 1 Anjhong Rd.'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,24,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7338,7338,"{'Zh_tw': '洲仔尾', 'En': 'Jhouzihwei'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,19,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10557,10557,"{'Zh_tw': '安中路口', 'En': 'Anjhong Rd. Intersection'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,23,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7337,7337,"{'Zh_tw': '大崎(家樂福中正店)', 'En': 'Daci(Carrefour Jhongjheng Store)'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,18,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10556,10556,"{'Zh_tw': '安通路口', 'En': 'Antong Rd. Intersection'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,22,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
