CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-12-0640-005-06,THB,20.07.1,1006400100500F,道路異動,數化精進,"EndNode,Length",['1006400100500F'],"[{'LinkID': '1006400100500F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-005-03,THB,20.07.1,1006400000500F,道路異動,數化精進,"StartNode,Length",['1006400000500F'],"[{'LinkID': '1006400000500F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-13-0310-006-01,THB,20.07.1,3003100000575H,道路刪除,道路分段,,['3003100000575H'],"[{'LinkID': '3003100000575H', 'RoadID': '300310', 'RoadName': '台31線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-09,THB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-005-02,THB,20.07.1,1006400000500F,道路異動,數化精進,"StartNode,Length",['1006400000500F'],"[{'LinkID': '1006400000500F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-003-03,THB,20.07.1,1006400100300F,道路異動,數化精進,"StartNode,Length",['1006400100300F'],"[{'LinkID': '1006400100300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-17-062A-000-04,THB,20.07.1,1006210100000C,道路新增,修改路名/道路結構改變,,['1006211101000C'],"[{'LinkID': '1006211101000C', 'RoadID': '100621', 'RoadName': '台62甲線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-005-04,THB,20.07.1,1006400000500F,道路異動,數化精進,"StartNode,Length",['1006400000500F'],"[{'LinkID': '1006400000500F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-10,THB,20.07.1,1006400100400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400100400F'],"[{'LinkID': '1006400100400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-003-05,THB,20.07.1,1006400100300F,道路異動,數化精進,"StartNode,Length",['1006400100300F'],"[{'LinkID': '1006400100300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-15,THB,20.07.1,1006400100400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400100400F'],"[{'LinkID': '1006400100400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-02,THB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-003-02,THB,20.07.1,1006400000300F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000300F'],"[{'LinkID': '1006400000300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-003-06,THB,20.07.1,1006400100300F,道路異動,數化精進,"StartNode,Length",['1006400100300F'],"[{'LinkID': '1006400100300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
