VDID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
VD-35-0260-028-01,THB,19.05.1,3002600003033T,道路新增,錯誤修正,,['3002600103033T'],"[{'LinkID': '3002600103033T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-42-0090-100-01,THB,19.05.1,3000900010060G,道路新增,道路分段,,"['3000900010060G', '3000900010163G']","[{'LinkID': '3000900010060G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900010163G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-000-01,THB,19.05.1,3002600100312T,道路新增,錯誤修正,,['3002600000312T'],"[{'LinkID': '3002600000312T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-34-0260-022-01,THB,19.05.1,3002600102473T,道路新增,錯誤修正,,['3002600002473T'],"[{'LinkID': '3002600002473T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-13-0310-006-01,THB,20.07.1,3003100000575H,道路新增,道路分段,,['3003100000575H'],"[{'LinkID': '3003100000575H', 'RoadID': '300310', 'RoadName': '台31線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
VD-12-0030-019-01,THB,20.10.2,3000300101862F,道路異動,錯誤修正,"StartMile,MileLength",['3000300101862F'],"[{'LinkID': '3000300101862F', 'RoadID': '300030', 'RoadName': '台3線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-12-0030-019-01,THB,20.10.2,3000300001862F,道路異動,錯誤修正,"EndMile,MileLength",['3000300001862F'],"[{'LinkID': '3000300001862F', 'RoadID': '300030', 'RoadName': '台3線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-12-0150-010-01,THB,20.10.2,3001500100984F,道路新增,錯誤修正,,['3001500100987F'],"[{'LinkID': '3001500100987F', 'RoadID': '300150', 'RoadName': '台15線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'SE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-13-0040-014-01,THB,20.10.2,3000400101450H,道路新增,錯誤修正,,['3000400101451H'],"[{'LinkID': '3000400101451H', 'RoadID': '300040', 'RoadName': '台4線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-21-0010-090-01,THB,20.10.2,3000100008995K,道路異動,錯誤修正,"EndMile,MileLength",['3000100008995K'],"[{'LinkID': '3000100008995K', 'RoadID': '300010', 'RoadName': '台1線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-21-0130-023-01,THB,20.10.2,3001300002341K,道路新增,錯誤修正/數化方向改變,,['3001300002374K'],"[{'LinkID': '3001300002374K', 'RoadID': '300130', 'RoadName': '台13線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-22-0170-016-01,THB,20.10.2,3001700101545B,道路異動,錯誤修正,"StartMile,MileLength",['3001700101545B'],"[{'LinkID': '3001700101545B', 'RoadID': '300170', 'RoadName': '台17線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-24-0140-014-01,THB,20.10.2,3001400001341N,道路異動,錯誤修正,"EndMile,MileLength",['3001400001341N'],"[{'LinkID': '3001400001341N', 'RoadID': '300140', 'RoadName': '台14線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-31-0010-360-01,THB,20.10.2,3000100135958E,道路異動,錯誤修正,"StartMile,MileLength",['3000100135958E'],"[{'LinkID': '3000100135958E', 'RoadID': '300010', 'RoadName': '台1線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-31-0280-013-01,THB,20.10.2,3002800001352E,道路異動,錯誤修正,"EndMile,MileLength",['3002800001352E'],"[{'LinkID': '3002800001352E', 'RoadID': '300280', 'RoadName': '台28線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-54-0200-016-01,THB,20.10.2,3002000101598D,道路異動,錯誤修正,"StartMile,MileLength",['3002000101598D'],"[{'LinkID': '3002000101598D', 'RoadID': '300200', 'RoadName': '台20線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-54-0200-016-01,THB,20.10.2,3002000001598D,道路異動,錯誤修正,"EndMile,MileLength",['3002000001598D'],"[{'LinkID': '3002000001598D', 'RoadID': '300200', 'RoadName': '台20線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
VD-12-0610-001-01,THB,21.08.1,1006110000050F,道路新增,修改路名,,['1006100000050F'],"[{'LinkID': '1006100000050F', 'RoadID': '100610', 'RoadName': '台61線', 'RoadClass': 1, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '22.02.1', 'UpdateDate': '2022-02-15'}]"
VD-12-061A-002-01,THB,21.08.1,1006110100200F,道路新增,修改路名,,['1006100100200F'],"[{'LinkID': '1006100100200F', 'RoadID': '100610', 'RoadName': '台61線', 'RoadClass': 1, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '22.02.1', 'UpdateDate': '2022-02-15'}]"
VD-12-0610-001-01,THB,22.02.1,1006100000050F,道路新增,里程異動大全路段重編/道路延伸/道路結構改變,,['1006101082020F'],"[{'LinkID': '1006101082020F', 'RoadID': '100610', 'RoadName': '台61線', 'RoadClass': 1, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
VD-35-0010-468-01,THB,22.02.1,3000900144507T,道路新增,道路合併/路型改變,,['3000900144507T'],"[{'LinkID': '3000900144507T', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
VD-35-0010-468-01,THB,22.02.1,3000900044507T,道路新增,道路合併/路型改變,,['3000900044507T'],"[{'LinkID': '3000900044507T', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
VD-N1-N-374.270-M-RS,THB,22.09.1,0000101176090E,道路異動,數化精進,"StartNode,Length",['0000101176090E'],"[{'LinkID': '0000101176090E', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '23.05.1', 'UpdateDate': '2023-05-05'}]"
