RouteName,RouteLength,Geometry,UpdateDate
道周路,1890,"LINESTRING (120.49415899983808 24.117427000156, 120.4928929999121 24.116242000368061, 120.4922170002144 24.11531900007185, 120.49172299991653 24.114308000214066, 120.49150899994049 24.113635999801602, 120.49141199996393 24.112875999827565, 120.49154099961754 24.112165000314576, 120.49163200021667 24.11179899962417, 120.49180400005457 24.111374999856423, 120.49208599956933 24.110886999835202, 120.49243300028274 24.110468000298, 120.49336199995639 24.109590000278331, 120.49459700025147 24.108717999636042, 120.49523099981081 24.108325000398509, 120.49592400029246 24.107953000330724, 120.49704099964254 24.107440000055988, 120.49823299975321 24.107074000264959, 120.5014109997179 24.106419999783213)",2018-06-06T00:00:00
仁安路,301,"LINESTRING (120.50020199972255 24.108872000442489, 120.50081400006616 24.107667999778414, 120.50136600034068 24.106482999990533)",2018-06-06T00:00:00
愛德路,82,"LINESTRING (120.50023200020667 24.108866000165847, 120.50086499972008 24.109258000256546)",2018-06-06T00:00:00
德美路,2214,"LINESTRING (120.49302100041893 24.118906000011918, 120.49374200039301 24.118865999965976, 120.49448899976755 24.118768999989413, 120.49512000008804 24.11866100040487, 120.49575199955518 24.118524000382365, 120.49641300035978 24.118376999898658, 120.4970639998038 24.118180999853337, 120.49828899963768 24.117682000224193, 120.49882700016599 24.117381999879456, 120.4993429996797 24.117062000411067, 120.49983800002371 24.116664000043613, 120.50020399981486 24.116266999722313, 120.50057900002093 24.11582500002379, 120.50093100006563 24.115324000302451, 120.50151900020171 24.114308000214066, 120.50183000015443 24.113665000239621, 120.5021030001534 24.113051999849972, 120.50249000001361 24.112028000292014, 120.50254099966742 24.111649999947588, 120.5025269999212 24.111302000087278, 120.50242299962179 24.110696000020425, 120.50231700012955 24.110386000113863, 120.50212500026862 24.110095000184174, 120.50154799974041 24.10969699981672, 120.50092899997344 24.109294000118041)",2018-06-06T00:00:00
美寮路,2452,"LINESTRING (120.50212600031477 24.113077000103544, 120.50444900042112 24.11353300044766, 120.50667999988218 24.113962999592786, 120.50869700026647 24.114313999591445, 120.50889100021959 24.114333999614416, 120.50904500012666 24.114325000098745, 120.50930300033326 24.114123999822766, 120.50945600019429 24.1140390003996, 120.50964599996303 24.114012000053833, 120.51099300002704 24.113984999708009, 120.51193500030013 24.113927999777445, 120.51254399960601 24.113817000054553, 120.51400100024603 24.113293000171893, 120.51554500040152 24.11273100033543, 120.5186970000666 24.111566999717297, 120.52490899965062 24.109278000279517)",2018-06-06T00:00:00
線東路五段六段,1860,"LINESTRING (120.52503600011141 24.109347999910312, 120.52540099985629 24.110635999951512, 120.52580899978557 24.11281699980475, 120.52619499959962 24.1146719999129, 120.52639900001395 24.115647999955286, 120.52650599955234 24.11613599997645, 120.52652799966756 24.116644000020642, 120.52648699957547 24.117133000087961, 120.52625299957629 24.11790699980827, 120.52599600031522 24.118460000128948, 120.52590000038481 24.11874699987419, 120.52583600013133 24.119149999572869, 120.52591900036168 24.119815999708692, 120.52613699962285 24.120257000260381, 120.52668899989749 24.12103099998069, 120.52878100014311 24.122547999790413, 120.53017499967655 24.123463999763828, 120.53064199962864 24.123774999716488, 120.53111699994963 24.123431000040682, 120.53145100006361 24.123298000202624, 120.53138199957971 24.123516000363168, 120.5314310000407 24.123600999786333)",2018-06-06T00:00:00
鹿和路,1700,"LINESTRING (120.48771700043926 24.094803000058448, 120.48815199981505 24.095545000101708, 120.48845700039033 24.096365000144715, 120.48894000018095 24.097483999586984, 120.48938500001782 24.098529000113331, 120.48951299962528 24.098823000181369, 120.4896780000397 24.099043999580942, 120.489964999785 24.0994349996256, 120.49021399957644 24.099851999969871, 120.49040999962187 24.100302000037345, 120.49060300042822 24.100817000404277, 120.49085000012747 24.101312999895072, 120.49112400017248 24.101911999639128, 120.49138399957201 24.102456000444135, 120.49175100030845 24.103264999979842, 120.4924219997755 24.104664999789975, 120.4927840002814 24.105482999740673, 120.49314599988804 24.106109999876651, 120.49355900004787 24.106719000081853, 120.49377099993171 24.107028999988415, 120.49414900027625 24.107559000147774, 120.49448999981371 24.108068000238063, 120.49484099981237 24.108567999913305)",2018-06-06T00:00:00
和線路,950,"LINESTRING (120.48387000020045 24.11916999959584, 120.49190600026179 24.114900999681424)",2018-06-06T00:00:00
彰新路三段373巷,370,"LINESTRING (120.52571499994735 24.111696000270229, 120.52605300024584 24.111693000131879, 120.52621899980704 24.111692000085782, 120.52629199957619 24.111681999624636, 120.52633899994498 24.111644999716987, 120.52640999962182 24.111640000385762, 120.52687600042714 24.111654000132035, 120.52713699987271 24.111646999809238, 120.5273970001715 24.111626999786267, 120.52786900035414 24.111586999740268, 120.52835200014476 24.111515000017278, 120.52881299982016 24.111432999833141, 120.52901400009614 24.111410999717918, 120.52922599997999 24.111400000109995)",2018-06-06T00:00:00
東萊路,1400,"LINESTRING (120.52934900025627 24.111408999625667, 120.52956700041682 24.111355999879549, 120.52982000039276 24.11119200041054, 120.53005200029963 24.111076999603881, 120.53086199988149 24.110837000227434, 120.53223000001458 24.110406000136834, 120.53354400035539 24.110042999584834, 120.53386099968543 24.109877000023573, 120.5345639997289 24.109294000118041, 120.53505699998061 24.108633000212819, 120.53522300044119 24.108364000398353, 120.53547799961007 24.107891000169559, 120.53604399963092 24.107076000357154, 120.53637100032142 24.106461999921407, 120.53647100043634 24.106135000130223, 120.53650500020569 24.105827000315855, 120.53650500020569 24.105285999649197, 120.53647899990597 24.104982000019334, 120.53644900032123 24.104868000158149, 120.53637699969886 24.104775000366033)",2018-06-06T00:00:00
和美鎮環鎮自行車道規劃設計暨建置工程(晉北路段),130,"LINESTRING (120.51825599591757 24.148434999275821, 120.51868299762225 24.148346000567528, 120.51876900248749 24.148315996486076, 120.5188289953619 24.148260999345666, 120.51890499616866 24.148153999807278, 120.51900099969646 24.147971000361451, 120.51904900280931 24.147841005158284, 120.51907499591437 24.147715996695922, 120.51968900084682 24.147798000477394)",2019-11-21T00:00:00
和美鎮環鎮自行車道規劃設計暨建置工程(地潭堤防段),950,"LINESTRING (120.51698100187184 24.140100004311819, 120.51644500323437 24.142411000267487, 120.51624099562548 24.143801003213753, 120.5161819974013 24.145142003900389, 120.51653900397196 24.1451960009947, 120.51669200023571 24.145395001178429, 120.51680300085786 24.145614996934626, 120.51697199606087 24.145995000968583, 120.5172589976047 24.1465879986373, 120.51756100343766 24.147216003315975, 120.51790200117648 24.147838000523336, 120.51821999875403 24.1484409986532)",2019-11-21T00:00:00
和美鎮環鎮自行車道規劃設計暨建置工程(和厝路段),3426,"LINESTRING (120.49528699789664 24.12083100424752, 120.49514600038765 24.12128300080991, 120.4950680021866 24.121813000069949, 120.49519299536053 24.122404004840973, 120.49582800395933 24.122508998891249, 120.49636799918392 24.122835000434975, 120.49648399554007 24.123174998127695, 120.49700400063421 24.12333600465297, 120.49802399551106 24.12375600333695, 120.49899000138748 24.124440004302812, 120.49957100299946 24.125043000634037, 120.50019600034523 24.125916004020439, 120.50060800135827 24.126995997167569, 120.50322599708215 24.130623998099111, 120.50412100058372 24.131730997887303, 120.50495199843601 24.132740999497571, 120.50681599716063 24.134867998659274, 120.50857099715381 24.13637300061356, 120.50950500425256 24.13715899728993, 120.51032299521012 24.137693000331751, 120.51181800119991 24.138496998737537, 120.51291999536159 24.139224000787067, 120.514909998098 24.139992003827956, 120.51605800067625 24.139909002698346, 120.51691700161837 24.140001997094544)",2019-11-21T00:00:00
溪州鄉莿仔埤圳自行車道,11200,"LINESTRING (120.48626661161495 23.862154303378475, 120.49036234454661 23.858818265550553, 120.49250677077089 23.85712077540353, 120.49456536479977 23.85526627351976, 120.49608215416811 23.853210581603093, 120.49679763230495 23.85224160706457, 120.49764185738582 23.851429619981047, 120.50029590693066 23.850100004711521, 120.50160147342933 23.849395948864014, 120.50292849055745 23.848770381348061, 120.50420589928285 23.8481889777392, 120.50563349928666 23.847852890298725, 120.50833851610969 23.847563409323925, 120.50920520085936 23.847569540901645, 120.50963854728116 23.847346915527794, 120.50992168353889 23.847124281160688, 120.51019945983728 23.846788805259223, 120.51041286536156 23.846414072151731, 120.51081821768662 23.845684238137153, 120.51151088901634 23.844410995071428, 120.51188941996088 23.843686047972767, 120.51241814937816 23.843098481309937, 120.5129214010019 23.842739071750827, 120.51354266526187 23.842448359604191, 120.51471009499494 23.842033746959885, 120.51528845170071 23.841738125414224, 120.51571659464514 23.841383617160261, 120.51655143350195 23.8405372175186, 120.51824257083808 23.838824768048653, 120.51906667538685 23.837939095912589, 120.51924587879432 23.83763916931224, 120.51946800594374 23.837457004437283, 120.52014073930377 23.837152167538534, 120.51980118407744 23.829737445226954, 120.51772167451577 23.830701531950183, 120.5166175480615 23.83122282667216, 120.5128009979677 23.833625088527072, 120.508941532226 23.835831040070502, 120.506305161554 23.834405872732873, 120.50417157935499 23.835989713754316, 120.50489345796677 23.836856730353873, 120.50527201679017 23.837802246076819, 120.5037837512192 23.838747757303224, 120.50258556737015 23.839415926603806, 120.50166633253525 23.839240140620063, 120.50183435377244 23.839868625536667, 120.50121025934607 23.840359510582971, 120.5005861613223 23.841085910986067, 120.49909121468784 23.843225626561491, 120.49720648029484 23.843333783527328, 120.49618813027803 23.843390269045756, 120.49529851641341 23.843289730236904, 120.49509556191072 23.846319572290497, 120.4951228257579 23.847755960469271, 120.49502916676272 23.848474150062032, 120.4946892545056 23.8492326436716, 120.49310309323323 23.8494352654252, 120.49143109616818 23.849441629028036, 120.49510717845362 23.854412603758703)",2019-11-21T00:00:00
集集支線沿線鐵路道側自行車道,4900,"LINESTRING (120.61805748206723 23.813075461963024, 120.61806800863178 23.813077059159014, 120.61662478290748 23.814295770033823, 120.61580362004111 23.814882975169212, 120.61598521384656 23.815085664371964, 120.61637091778368 23.814863348364895, 120.61708545612896 23.814659184273978, 120.61870979811874 23.813622684139602, 120.62178897697981 23.811488790775115, 120.62248742465499 23.810696667017623, 120.62346052798102 23.81003019114047, 120.62878096486975 23.806469990098037, 120.63253980816569 23.80439143561631, 120.63458203813059 23.802972512271651, 120.63923299720511 23.799443530294752, 120.63978432029023 23.799006327580003, 120.64043864632652 23.798710478505825, 120.64147920510129 23.798501017408057, 120.64175587793147 23.798346530068386, 120.64283506888341 23.798506175919329, 120.64289072252893 23.7986206560185, 120.64691926711055 23.798830368027097, 120.64847571927908 23.798961321008221, 120.64910948771274 23.799088358341123, 120.64911884066203 23.799040657400496, 120.64976725635381 23.799275954221969, 120.65106661123514 23.799226805372825, 120.65236597061312 23.799146231513419, 120.65371253270723 23.798994987128992, 120.65491319149066 23.799275665539597)",2019-11-21T00:00:00
金墩山區自行車路線,14000,"MULTILINESTRING ((120.60012100478059 24.017434996228133, 120.6000209983705 24.017096999526984, 120.59999799910838 24.016847997936793, 120.60034200058294 24.015857999047455, 120.60034900090568 24.015759000777336, 120.60031099825403 24.015685998310232, 120.60020399601763 24.01558899653503, 120.6000600037662 24.015530001908132, 120.59991500427407 24.015514002069608, 120.59976199991638 24.015518000455415, 120.59961700402152 24.015539003222443, 120.59947199643557 24.015588999232989, 120.59934200123246 24.015685996511593, 120.59896099985031 24.016401005202283, 120.59889999613802 24.016400998907045, 120.59884599814438 24.016373002112402, 120.59874699897489 24.0160919999459, 120.59861000254966 24.01593600174516, 120.59850300480991 24.015881996556971, 120.59837300241225 24.015867001261142, 120.59727499674375 24.016151001767355, 120.59628300225882 24.016586002042402, 120.59608500391982 24.016729003240982, 120.59583299949338 24.016959996806463, 120.59507000387759 24.017401001854807, 120.59474200044303 24.017513002523117, 120.59390999894731 24.017650998994441, 120.59358999678102 24.017796995834715, 120.59329999959539 24.0179789997311, 120.59212500476519 24.018494002796047, 120.59194199812475 24.018578003072435, 120.59180499630361 24.018708998321642, 120.59156799796483 24.018997000810998, 120.59134699586718 24.019150001571347, 120.59052299923712 24.019536996035583, 120.59006499520342 24.019858997394863, 120.58925600376165 24.0202330047494, 120.5889589990586 24.020314998638355, 120.58713499948067 24.020310998453851, 120.58654000171975 24.020439001658644, 120.58570899937092 24.020355004979535, 120.5841750032738 24.020350001151655, 120.58262599569321 24.020369997577404, 120.5818789981173 24.020267003619381, 120.58054399590878 24.020350001151655, 120.57944499828807 24.020517003456973, 120.57869700066612 24.02067000151942, 120.57830000304273 24.020786002372176, 120.57716399831997 24.021045997274996, 120.57651499627013 24.02121700066408, 120.5763019972394 24.02132399660519, 120.57592800427403 24.0216539974341, 120.57540899652804 24.021781997041558, 120.57508900425421 24.021750996511344, 120.57492100190279 24.021682999670759, 120.57337999648973 24.020717999236354, 120.57299000368573 24.020664001242721, 120.5725779963775 24.020674003502506, 120.57215900313554 24.020576003479846, 120.57134199603638 24.020315001336314, 120.57093800348616 24.020270999307229, 120.57054899813784 24.02019299660958, 120.56874100019706 24.019693000531618, 120.56831399849227 24.01954300350684, 120.56781799720284 24.01924700334655, 120.56779499973948 24.019368998180767, 120.56791700446627 24.019511996681331, 120.56807699565684 24.019624999194434, 120.56821399657872 24.0198020001622, 120.56885499736029 24.020649000550975, 120.56899299652957 24.021054997690044, 120.56902299611443 24.021448004122135, 120.56911499945772 24.021692001884446, 120.56922899841959 24.0218140030139, 120.56935099864972 24.021933000407671, 120.56961799927126 24.022057001629378, 120.56986200422818 24.022187998677225, 120.57060199968259 24.023093997290175, 120.57069400302589 24.0233749958594, 120.57084699839038 24.0235689967119, 120.57137299566728 24.023806000446598, 120.57151799875669 24.02388800422807, 120.57173899815632 24.024122005126458, 120.5719990047503 24.024300005241116, 120.57208299783213 24.024359002565973, 120.5722120046803 24.024412004110729, 120.57284500329433 24.02452999696186, 120.57302899739034 24.024539999221645, 120.57320400366189 24.024506003949, 120.57366199780301 24.024309002958148, 120.57390599916255 24.024398999913956, 120.57415000411947 24.024443001943041, 120.57461499858334 24.02448999961382, 120.57498900323992 24.024548997838053, 120.57516499786641 24.024608997906967, 120.57521800390782 24.024611998944636, 120.57525599846565 24.024612004340554, 120.57598899539585 24.024358999868014, 120.5762789979774 24.02434000079046, 120.57716400011861 24.024726997952655, 120.57727100235491 24.024746002426127, 120.57736199665885 24.024736004662941, 120.5775830014544 24.024590004225388, 120.57768999739551 24.024578000974032, 120.57779700232982 24.024593005263057, 120.57787299864003 24.024624004893951, 120.57794200002331 24.024671996315647, 120.57825499826959 24.02524599850409, 120.57855999614696 24.02572099792576, 120.57859000022836 24.025995004266065, 120.57861299679246 24.026142002951133, 120.57869699527021 24.026279002074318, 120.57888000191065 24.026429998245874, 120.57904799976541 24.026528997415369, 120.57959000137748 24.026711001311696, 120.58012400262066 24.02691999656065, 120.58049799918342 24.027151000018705, 120.58074200414023 24.027169997297563, 120.58107000038024 24.027116998450765, 120.58117699811999 24.027126004261731, 120.58144400413755 24.027298003200315, 120.58155799860276 24.027332002969615, 120.58191699627241 24.027229000917714, 120.58206200475774 24.027279004122818, 120.58229799765456 24.027569003107033, 120.58253500138926 24.027723003913536, 120.58294699700639 24.027890998171074, 120.58305399744404 24.02808199888517, 120.58314499714402 24.028126003612215, 120.58345000221584 24.028103004350214, 120.58364099933272 24.028125997316977, 120.58380899718759 24.028175004972525, 120.58391599852462 24.028278005225786, 120.58404499907749 24.028359999114741, 120.58430500297357 24.028397002619613, 120.58441200071331 24.028376001651225, 120.58477000013545 24.028238001582565, 120.58504499932735 24.028218998907732, 120.58525099803524 24.02828200451097, 120.58547199833413 24.028397004418252, 120.58557900057053 24.028543001258527, 120.58570900476684 24.028649998998333, 120.58594500126082 24.028709003517747, 120.58641100296552 24.028887003632349, 120.58652500282665 24.028954002225476, 120.58660099553958 24.029036997959167, 120.58689899579213 24.029459003929958, 120.58703600121055 24.029606001715649, 120.58721199943432 24.029749004712869, 120.58737200141684 24.029837003375064, 120.58738699851119 24.029927996779691, 120.58742500116296 24.03000299754035, 120.58756300033224 24.030026998647145, 120.58781400381326 24.029998997355904, 120.58806600194453 24.029909002198735, 120.58837899659352 24.029734004920442, 120.5884700043872 24.029630998371942, 120.58856200413322 24.029580996965478, 120.58865399578531 24.0295519983261, 120.58872200341773 24.029562004183219, 120.5887680001432 24.029611997495749, 120.58876799834457 24.029690001992037, 120.58866899647705 24.029780996295983, 120.58849300005193 24.029924001091842, 120.5884479979768 24.03003700000761, 120.58846300316509 24.030252002727821, 120.58849300185057 24.030365005240867, 120.58853099730777 24.030423996270486, 120.58862300065107 24.030478005055954, 120.58882099539267 24.03050600364918, 120.58889800074223 24.030537000582171, 120.58897400154899 24.030580997215282, 120.58913400443078 24.03051199942928, 120.58950800279217 24.0305060045485, 120.5900419968408 24.030424002565724, 120.59020999829283 24.030457996039729, 120.59060699771487 24.030655004225139, 120.59082000124215 24.030703005539351, 120.59105700497685 24.03086500221815, 120.59118699928069 24.031001999542696, 120.59124799849644 24.031272999449413, 120.59130100363848 24.031355001432246, 120.59140800407624 24.031433002331255, 120.59168199602732 24.031522997488366, 120.59189599690285 24.031569996957842, 120.59210199561062 24.031586003990924, 120.59212499847001 24.031623997649433, 120.59212500116791 24.031672999909063, 120.59201000305927 24.031693000831353, 120.59193400315178 24.031756997487491, 120.59187299674147 24.031939003182515, 120.59187299764073 24.03208499912347, 120.5918809962111 24.032242005464241, 120.59197200310552 24.032385002166166, 120.59208699491899 24.032526004171814, 120.59217800001477 24.032594996561897, 120.59233100257381 24.032647999905294, 120.59271999892883 24.032742001542204, 120.59276599925158 24.032794999489681, 120.59280399740658 24.03290400361692, 120.59277300137296 24.033075001610086, 120.5926589961158 24.033182003846434, 120.5926510020422 24.033276005483344, 120.59266699558543 24.033339000294689, 120.59293400250226 24.033588000086183, 120.59298700314775 24.033799998171446, 120.59300999611446 24.033912997986533, 120.59279600153434 24.033927995980264, 120.59271200125795 24.034062996809894, 120.59265900151172 24.034224997085971, 120.59259799690005 24.034268997316417, 120.59252200238859 24.034274998492435, 120.59243000084393 24.034294003865227, 120.59230799701652 24.0342900045801, 120.59212499936928 24.034083999576978, 120.59201799623361 24.034024996856147, 120.59192699833238 24.034024997755466, 120.59187300213739 24.034059996671544, 120.59234599876891 24.034912004485477), (120.59545899663544 24.024798996776326, 120.59538299762733 24.024735996569063, 120.59533699730468 24.0246680006278, 120.59530600037169 24.024593001665721, 120.59542100387625 24.024431002288964, 120.59545099986383 24.024165996363706, 120.59546700150099 24.024063004204322, 120.59555800389887 24.023961997748074, 120.59559599665795 24.023903000423161, 120.59557300369124 24.023840004712497, 120.59534499857284 24.023568999409861, 120.59525300332348 24.023529000263181, 120.59514600378509 24.023564997426718, 120.59489400115729 24.023825001322791, 120.59479499839051 24.023869001553237, 120.59479500018915 24.023718002683722, 120.59474899626923 24.023578999871006, 120.59441400240439 24.023234996597864, 120.59425400311977 24.023118996644428, 120.59410900272837 24.022965997682718, 120.59331500028713 24.0224820023426, 120.5929339953077 24.022354000936446, 120.59286499842096 24.02234999805404, 120.59280400010459 24.022388003403705, 120.59230800421108 24.022984999458231, 120.59191100119176 24.023325001647549, 120.59165999950949 24.023394003030887, 120.59147600361473 24.023396997773261, 120.59132399570592 24.023480999848289, 120.59114799928079 24.023575005082478, 120.59100299709075 24.023722004666809, 120.59096500073429 24.023741000147083, 120.59093500025017 24.023730996987979, 120.59076699969739 24.023600000839394, 120.59070600138091 24.023593996066097, 120.5906450012659 24.023632000516443, 120.59035499778497 24.023980996825571, 120.59030900465689 24.024290004779971, 120.59014900357374 24.024597000051585, 120.58996599873194 24.024695996523064, 120.58978999601152 24.024912005584667, 120.58966800027804 24.02489299661454, 120.58943899601297 24.024912003785971, 120.58919500094862 24.024906004408649, 120.5889739952537 24.025117999795896, 120.58869200383299 24.025171004038668, 120.58860800265722 24.02521100498393, 120.58856200053594 24.025265002977562, 120.58854699804556 24.025358001870359, 120.58843999940655 24.025969997717255, 120.58838699516377 24.02606800493453, 120.58829499901503 24.026126999561427, 120.58818100365045 24.026133004334724, 120.58798999484247 24.02606800313589, 120.58782200508153 24.026053997993642, 120.58768500146175 24.02608899780904, 120.58760800420612 24.026160998431408, 120.58749400434488 24.026263996885973, 120.58734100448385 24.026361002258511, 120.5869059979135 24.026392001889405, 120.58678399588473 24.026475998568515, 120.58676099842137 24.0265480000902, 120.58670799777599 24.026757998083212, 120.58660099823749 24.026848003132898, 120.58657099865275 24.026936003593732, 120.58655500151212 24.026995003616548, 120.58659399521673 24.027097999373211, 120.58668500211127 24.027195003846373, 120.58682999530811 24.027189001771092, 120.58692899537687 24.02713200453843, 120.58698999908927 24.027019996675563, 120.5869980012568 24.026814003363597, 120.5870510019023 24.026895998151872, 120.58702899639115 24.027079000295657, 120.58697499929679 24.027201005022391, 120.58689900118804 24.027283003407945, 120.58670799687661 24.027367002785013, 120.58644099625508 24.02739100479107, 120.58631900232012 24.027460003476449, 120.58629599856158 24.027631996119794, 120.58615899943834 24.02779400179179, 120.5859910006842 24.027920004005011, 120.58584600389008 24.027973002851866, 120.58563999978617 24.028012997501889, 120.58552599992504 24.028072002920624, 120.58538100313081 24.028087999161869, 120.58519000061813 24.028091002897497, 120.58504500202525 24.0281659964636), (120.59472700424794 24.023911999938889, 120.59449000231177 24.024109000030364, 120.59422299629432 24.024224998185161, 120.59410900362764 24.024309002958148, 120.59408599986909 24.024431001389644, 120.59413099924632 24.024726996154016, 120.59355200222319 24.02546100482158, 120.59340699913378 24.02574900101564, 120.59300200114149 24.025950996841061, 120.59278899851358 24.025961004496821, 120.59269000474 24.026013996149061, 120.59264399542405 24.026132998938806, 120.59262800008219 24.0262549973703, 120.59261300118908 24.02638200142826, 120.59261299849118 24.026598002395929, 120.59259000192708 24.026705002833637, 120.59225500266632 24.026900997483096, 120.59208700301281 24.02709800476913, 120.59155299547444 24.027459997181154, 120.59113300128706 24.027644999417248, 120.59106399990378 24.027793999093831, 120.59102599725202 24.028057004926893, 120.59092700257918 24.028156001398372, 120.59079699838287 24.028234001398118, 120.59052300013639 24.028340999137868, 120.59037800154363 24.028459998330334, 120.59020199792394 24.028681000427866, 120.58999599741742 24.028855998605479, 120.58992000380522 24.028872002940659, 120.58984400119971 24.02886600266396, 120.58972200456697 24.028784005177727, 120.5892720027008 24.028860000588622, 120.58878300083484 24.029013001348972, 120.58860799995932 24.029090996852062, 120.58841700194318 24.029193996206004, 120.58829499631713 24.029322003008076, 120.5880809954416 24.0296650053358, 120.58757000245373 24.029757996134663, 120.5873789981423 24.029757997033983))",2019-11-21T00:00:00
