日期,未滿1年,1年-未滿2年,2年-未滿3年,3年-未滿4年,4年-未滿5年,5年-未滿6年,6年-未滿7年,7年-未滿8年,8年-未滿9年,9年-未滿10年,10年-未滿11年,11年-未滿12年,12年-未滿13年,13年-未滿14年,14年-未滿15年,15年-未滿16年,16年-未滿17年,17年-未滿18年
108年 2月底,"741,615","996,789","869,809","700,645","698,062","683,236","619,561","641,824","551,321","478,443","748,414","680,914","628,276","643,707","602,046","471,769","354,919","300,108"
108年 3月底,"717,653","1,008,313","887,736","701,959","696,700","693,469","622,430","635,247","561,631","493,475","711,546","693,163","615,665","649,619","604,218","473,309","363,984","294,920"
108年 4月底,"717,111","1,012,003","890,426","706,389","692,016","699,446","632,370","628,228","572,766","496,329","680,385","705,094","621,600","643,371","603,728","476,537","369,888","291,478"
108年 5月底,"707,809","1,015,081","888,605","723,506","691,389","698,031","638,623","628,409","575,806","514,142","641,549","714,010","627,228","635,318","608,606","479,757","375,033","288,709"
108年 6月底,"702,182","1,003,923","897,113","730,649","702,527","698,391","644,831","621,427","588,694","525,800","600,623","730,287","626,962","630,467","605,704","493,844","375,621","288,459"
108年 7月底,"715,817","986,802","906,208","735,312","708,836","696,033","653,864","621,814","597,835","537,134","561,545","736,790","636,668","626,416","600,052","504,415","372,844","293,370"
108年 8月底,"714,422","961,323","907,177","759,941","715,362","688,498","656,559","624,689","607,588","549,114","521,763","740,559","643,284","628,150","601,962","510,617","377,143","299,310"
108年 9月底,"729,780","930,823","927,943","776,990","710,005","686,882","658,481","620,017","620,216","552,340","495,640","741,694","650,152","625,171","603,716","522,388","378,972","305,204"
108年 10月底,"737,012","915,623","938,282","796,491","711,081","688,106","657,769","614,954","627,747","550,292","467,462","752,622","656,038","613,194","611,247","528,093","384,712","306,414"
108年 11月底,"753,704","883,251","957,757","818,968","712,920","689,872","658,651","612,130","633,619","537,609","452,586","764,709","655,627","604,777","613,893","534,380","396,001","305,223"
108年 12月底,"806,396","860,660","977,580","837,825","706,159","697,610","659,842","612,639","630,164","518,930","446,816","781,157","648,090","606,686","599,875","535,438","409,316","303,249"
109年底,"946,417","891,809","861,127","976,607","836,641","704,030","693,479","653,223","603,312","617,161","503,917","431,197","741,175","597,093","535,873","517,059","453,117","341,632"
109年 1月底,"779,143","849,071","997,742","847,475","703,433","702,864","664,303","623,695","620,400","535,206","462,496","744,322","646,981","600,977","591,780","551,452","406,328","307,303"
109年 2月底,"794,145","841,859","997,362","869,083","699,343","695,774","679,167","613,336","632,788","540,787","466,876","722,480","649,619","589,412","593,289","546,727","417,460","310,573"
109年 3月底,"794,197","821,041","1,009,061","886,947","700,661","694,356","689,301","616,148","626,161","550,754","481,268","686,757","661,132","576,687","597,654","546,997","418,552","317,958"
109年 4月底,"781,725","829,338","1,013,059","889,612","705,124","689,718","695,262","626,105","619,039","561,572","483,803","656,690","672,614","581,131","590,278","545,010","420,909","322,566"
109年 5月底,"765,005","836,664","1,016,402","887,801","722,261","689,133","693,898","632,554","619,142","564,603","501,043","619,488","681,502","585,622","582,174","548,475","423,300","326,885"
109年 6月底,"773,602","834,313","1,005,201","896,268","729,423","700,280","694,196","638,793","612,215","577,141","512,275","579,792","696,805","584,074","575,822","543,773","434,537","326,238"
109年 7月底,"786,107","845,561","987,892","905,362","734,077","706,560","691,877","647,936","612,535","586,146","523,038","542,024","703,202","593,004","571,272","537,222","443,145","323,037"
109年 8月底,"794,294","853,176","962,276","906,370","758,678","713,113","684,458","650,617","615,573","595,717","534,593","503,507","706,797","599,528","571,724","537,456","447,219","325,996"
109年 9月底,"818,970","862,999","931,501","927,055","775,750","707,859","682,803","652,569","610,943","607,973","537,602","478,539","707,387","605,439","567,332","537,055","455,783","326,479"
109年 10月底,"833,863","871,629","916,264","937,377","795,323","709,067","684,069","651,881","605,887","615,471","535,398","451,515","717,557","609,974","553,912","541,143","458,643","329,786"
109年 11月底,"870,398","880,292","883,972","956,792","817,847","710,925","685,763","652,264","602,855","620,892","522,624","437,051","727,853","607,730","542,035","538,282","460,138","336,297"
109年 12月底,"946,417","891,809","861,127","976,607","836,641","704,030","693,479","653,223","603,312","617,161","503,917","431,197","741,175","597,093","535,873","517,059","453,117","341,632"
110年底,"765,695","986,752","891,669","860,108","975,218","834,780","700,212","688,823","645,748","593,720","602,756","488,302","415,126","704,408","554,627","484,127","459,565","397,107"
110年 1月底,"941,859","874,850","850,100","996,850","846,343","701,387","698,783","657,901","614,443","608,039","520,031","446,430","706,546","598,527","532,373","510,974","467,954","339,938"
110年 2月底,"917,231","891,821","842,785","996,401","867,910","697,315","691,694","672,742","604,375","620,335","525,710","450,345","686,116","602,396","523,024","513,377","464,963","350,191"
110年 3月底,"905,654","899,621","822,036","1,008,060","885,745","698,646","690,451","682,916","607,407","614,007","535,623","464,303","652,467","615,048","512,919","518,450","465,872","351,802"
110年 4月底,"895,161","894,194","830,355","1,012,053","888,361","703,191","685,877","689,157","617,369","607,201","546,469","466,751","624,667","627,800","518,297","513,471","465,263","354,784"
110年 5月底,"881,759","878,469","837,629","1,015,356","886,485","720,271","685,331","687,859","624,036","607,341","549,690","483,725","589,960","638,307","523,968","508,320","470,063","357,866"
110年 6月底,"854,502","880,896","835,124","1,004,157","894,938","727,465","696,496","688,349","630,568","600,771","562,560","494,956","553,081","655,127","525,052","505,575","469,030","369,305"
110年 7月底,"832,425","882,058","846,391","986,870","904,018","732,210","702,866","686,546","639,894","601,260","571,624","505,859","517,767","662,179","536,460","503,808","465,040","378,172"
110年 8月底,"813,208","892,150","853,802","961,221","905,042","756,837","709,455","679,400","642,675","604,493","581,174","517,051","481,484","666,537","545,165","505,497","466,641","382,507"
110年 9月底,"796,627","906,680","863,518","930,516","925,674","773,850","704,404","677,895","644,451","600,775","593,316","520,371","458,502","668,409","553,865","503,840","468,138","391,423"
110年 10月底,"788,602","909,725","872,055","915,285","935,973","793,446","705,629","679,258","644,127","595,903","600,917","518,580","433,364","679,295","561,061","494,074","474,053","395,713"
110年 11月底,"778,256","938,361","880,455","882,942","955,414","815,995","707,295","681,094","644,775","593,258","606,384","506,281","420,107","690,235","561,619","485,576","474,023","399,252"
110年 12月底,"765,695","986,752","891,669","860,108","975,218","834,780","700,212","688,823","645,748","593,720","602,756","488,302","415,126","704,408","554,627","484,127","459,565","397,107"
111年底,"645,568","850,465","987,212","890,320","858,458","972,647","830,835","695,024","681,068","634,772","579,349","582,869","468,085","395,978","662,242","511,830","436,434","408,582"
111年 1月底,"723,413","1,017,534","874,880","849,107","995,428","844,439","697,620","694,052","650,452","604,747","593,657","503,765","429,671","671,225","556,903","481,587","454,565","410,784"
111年 2月底,"707,211","1,010,144","892,180","841,782","994,994","865,932","693,354","686,918","665,246","594,847","605,676","509,244","433,500","651,744","561,192","473,515","456,859","408,324"
111年 3月底,"697,789","1,008,226","900,071","821,067","1,006,647","883,683","694,526","685,660","675,328","597,872","599,201","518,685","446,561","619,612","573,675","464,159","461,113","408,653"
111年 4月底,"688,307","1,002,420","894,534","829,366","1,010,609","886,269","699,060","681,048","681,703","607,693","592,559","529,255","448,544","593,500","586,507","469,633","456,864","408,645"
111年 5月底,"673,261","996,202","878,788","836,618","1,013,862","884,439","716,217","680,493","680,909","613,955","592,924","532,282","464,890","560,737","597,362","475,121","452,499","413,186"
111年 6月底,"687,876","964,668","881,422","834,096","1,002,616","892,760","723,508","691,621","681,310","620,077","586,749","544,533","475,332","525,449","613,552","475,683","449,734","411,744"
111年 7月底,"689,419","943,875","882,605","845,424","985,352","901,755","728,227","697,980","679,229","629,222","587,173","553,174","485,334","491,717","620,066","486,987","448,330","407,916"
111年 8月底,"688,174","925,946","892,689","852,791","959,726","902,743","752,906","704,579","672,058","631,573","590,144","562,393","495,658","457,224","624,481","496,192","450,050","409,751"
111年 9月底,"685,827","910,344","907,188","862,440","929,016","923,272","769,591","699,768","670,484","633,474","586,494","573,920","498,761","435,748","626,436","505,691","448,897","411,364"
111年 10月底,"670,579","903,190","910,448","870,896","913,760","933,581","789,106","700,997","671,759","633,352","581,725","581,331","496,913","412,345","637,323","514,019","441,087","417,434"
111年 11月底,"650,872","887,575","938,982","879,267","881,326","953,034","812,175","701,987","673,534","633,946","579,066","586,457","485,116","400,380","648,386","516,424","435,252","418,645"
111年 12月底,"645,568","850,465","987,212","890,320","858,458","972,647","830,835","695,024","681,068","634,772","579,349","582,869","468,085","395,978","662,242","511,830","436,434","408,582"
112年底 (5月),"657,110","773,876","997,235","877,181","834,700","1,009,866","879,801","711,126","672,711","669,275","598,753","572,836","509,057","441,512","525,837","552,426","428,163","401,613"
112年 1月底,"634,544","817,794","1,018,065","873,536","847,387","992,461","840,415","692,476","686,203","639,526","590,130","574,209","482,887","409,852","630,790","514,615","434,473","404,006"
112年 2月底,"649,482","800,690","1,010,885","890,701","840,018","991,929","861,640","688,277","679,002","653,864","580,178","585,437","487,466","412,886","611,578","517,983","426,484","405,033"
112年 3月底,"650,449","792,731","1,009,069","898,527","819,274","1,002,941","879,214","689,573","677,689","663,805","583,114","579,027","496,462","424,790","581,045","529,876","418,451","409,145"
112年 4月底,"642,499","785,216","1,003,357","892,933","827,522","1,006,737","881,777","694,134","673,284","670,171","592,903","572,717","506,649","426,511","557,080","542,567","423,940","405,879"
112年 5月底,"657,110","773,876","997,235","877,181","834,700","1,009,866","879,801","711,126","672,711","669,275","598,753","572,836","509,057","441,512","525,837","552,426","428,163","401,613"
