日期,新北市 / 能源別總計,新北市 / 汽油,新北市 / 電能,新北市 / 汽油、電能,臺北市 / 能源別總計,臺北市 / 汽油,臺北市 / 電能,臺北市 / 汽油、電能,桃園市 / 能源別總計,桃園市 / 汽油,桃園市 / 電能,桃園市 / 汽油、電能,臺中市 / 能源別總計,臺中市 / 汽油,臺中市 / 電能,臺中市 / 汽油、電能,高雄市 / 能源別總計,高雄市 / 汽油,高雄市 / 電能,高雄市 / 汽油、電能,基隆市 / 能源別總計,基隆市 / 汽油,基隆市 / 電能,基隆市 / 汽油、電能
102年 5月,"2,379,185","2,372,945","6,233",-,"1,103,619","1,100,031","3,587",-,"1,167,178","1,163,511","3,665",-,"1,753,272","1,750,628","2,640",-,"2,283,440","2,277,775","5,663",-,"195,756","195,586",167,-
102年 6月,"2,384,060","2,377,762","6,290",-,"1,105,599","1,101,936","3,661",-,"1,169,544","1,165,846","3,694",-,"1,758,119","1,755,442","2,673",-,"2,286,284","2,280,575","5,706",-,"196,372","196,199",170,-
102年 7月,"2,387,161","2,380,831","6,322",-,"1,104,452","1,100,752","3,698",-,"1,172,240","1,168,463","3,773",-,"1,761,911","1,759,177","2,730",-,"2,288,955","2,283,170","5,782",-,"196,809","196,635",171,-
102年 8月,"2,352,038","2,345,615","6,415",-,"1,084,685","1,080,944","3,739",-,"1,156,898","1,153,042","3,852",-,"1,753,235","1,750,441","2,790",-,"2,236,832","2,230,957","5,872",-,"193,633","193,460",170,-
102年 9月,"2,277,903","2,271,422","6,471",-,"1,056,515","1,052,722","3,790",-,"1,128,955","1,125,055","3,896",-,"1,691,732","1,688,899","2,829",-,"2,112,605","2,106,699","5,902",-,"188,568","188,394",171,-
102年 10月,"2,285,274","2,278,736","6,527",-,"1,053,740","1,049,948","3,789",-,"1,127,900","1,123,914","3,982",-,"1,686,865","1,683,971","2,889",-,"2,107,103","2,101,143","5,956",-,"189,472","189,296",173,-
102年 11月,"2,283,621","2,277,070","6,540",-,"1,053,495","1,049,673","3,819",-,"1,128,230","1,124,194","4,031",-,"1,686,122","1,683,172","2,945",-,"2,105,727","2,099,635","6,088",-,"189,214","189,035",176,-
102年 12月,"2,269,139","2,262,420","6,707",-,"1,034,810","1,030,975","3,831",-,"1,125,395","1,121,306","4,084",-,"1,678,392","1,675,435","2,950",-,"2,089,526","2,083,235","6,287",-,"187,689","187,506",180,-
103年,"2,191,138","2,184,097","7,026",-,"980,563","976,438","4,119",-,"1,096,107","1,090,882","5,220",-,"1,647,752","1,644,323","3,417",-,"2,010,212","2,003,661","6,544",-,"180,582","180,385",193,-
103年 1月,"2,268,104","2,261,434","6,658",-,"1,036,330","1,032,457","3,868",-,"1,126,873","1,122,778","4,091",-,"1,679,714","1,676,748","2,958",-,"2,091,758","2,085,476","6,277",-,"185,996","185,814",179,-
103年 2月,"2,266,534","2,259,881","6,641",-,"1,038,141","1,034,241","3,894",-,"1,128,174","1,124,062","4,108",-,"1,681,723","1,678,748","2,967",-,"2,086,305","2,080,025","6,275",-,"184,360","184,178",179,-
103年 3月,"2,255,271","2,248,661","6,597",-,"993,416","989,525","3,886",-,"1,128,439","1,124,131","4,304",-,"1,682,808","1,679,697","3,104",-,"2,082,435","2,076,151","6,279",-,"183,341","183,158",179,-
103年 4月,"2,250,376","2,243,788","6,575",-,"1,026,710","1,022,807","3,898",-,"1,127,961","1,123,518","4,439",-,"1,678,728","1,675,566","3,153",-,"2,081,795","2,075,489","6,301",-,"183,307","183,123",180,-
103年 5月,"2,228,989","2,222,374","6,601",-,"991,879","987,971","3,903",-,"1,127,478","1,123,004","4,470",-,"1,647,397","1,644,192","3,196",-,"2,077,500","2,071,189","6,306",-,"181,861","181,679",178,-
103年 6月,"2,223,182","2,216,524","6,642",-,"990,842","986,912","3,924",-,"1,108,828","1,104,274","4,549",-,"1,647,839","1,644,489","3,340",-,"2,022,886","2,016,562","6,318",-,"181,908","181,726",178,-
103年 7月,"2,192,876","2,186,251","6,608",-,"981,058","977,070","3,983",-,"1,102,281","1,097,633","4,643",-,"1,641,158","1,637,779","3,368",-,"2,012,368","2,006,059","6,303",-,"179,880","179,693",183,-
103年 8月,"2,201,169","2,194,424","6,728",-,"984,373","980,350","4,018",-,"1,107,437","1,102,760","4,672",-,"1,647,127","1,643,719","3,397",-,"2,019,987","2,013,627","6,353",-,"180,628","180,440",184,-
103年 9月,"2,200,266","2,193,512","6,739",-,"984,570","980,563","4,001",-,"1,102,546","1,097,775","4,766",-,"1,647,380","1,643,920","3,448",-,"2,017,635","2,011,203","6,425",-,"181,013","180,817",192,-
103年 10月,"2,203,770","2,197,029","6,726",-,"986,412","982,374","4,032",-,"1,105,918","1,100,928","4,985",-,"1,649,812","1,646,325","3,475",-,"2,022,239","2,015,762","6,470",-,"181,167","180,969",194,-
103年 11月,"2,203,528","2,196,635","6,878",-,"986,535","982,399","4,130",-,"1,102,010","1,096,838","5,167",-,"1,650,037","1,646,511","3,514",-,"2,017,936","2,011,374","6,555",-,"181,198","181,002",192,-
103年 12月,"2,191,138","2,184,097","7,026",-,"980,563","976,438","4,119",-,"1,096,107","1,090,882","5,220",-,"1,647,752","1,644,323","3,417",-,"2,010,212","2,003,661","6,544",-,"180,582","180,385",193,-
104年,"2,178,050","2,169,317","8,733",-,"962,797","957,083","5,713",-,"1,108,748","1,101,190","7,555",-,"1,650,878","1,647,008","3,868",-,"1,996,797","1,990,037","6,760",-,"181,006","180,812",194,-
104年 1月,"2,186,546","2,179,525","7,006",-,"980,272","976,144","4,122",-,"1,096,244","1,091,012","5,227",-,"1,649,464","1,646,026","3,426",-,"2,011,071","2,004,506","6,558",-,"180,158","179,961",193,-
104年 2月,"2,183,116","2,176,233","6,868",-,"980,374","976,237","4,131",-,"1,097,686","1,092,377","5,304",-,"1,650,361","1,646,908","3,441",-,"2,012,931","2,006,353","6,571",-,"180,231","180,032",195,-
104年 3月,"2,185,514","2,178,633","6,868",-,"982,073","977,886","4,181",-,"1,100,937","1,095,405","5,527",-,"1,628,825","1,625,357","3,457",-,"2,017,284","2,010,670","6,607",-,"180,562","180,363",195,-
104年 4月,"2,185,279","2,178,416","6,851",-,"981,540","977,332","4,201",-,"1,102,012","1,096,381","5,626",-,"1,640,803","1,637,280","3,513",-,"2,017,832","2,011,199","6,626",-,"180,734","180,533",196,-
104年 5月,"2,186,232","2,179,344","6,875",-,"978,987","974,767","4,213",-,"1,104,824","1,099,086","5,733",-,"1,642,694","1,639,126","3,558",-,"2,015,921","2,009,248","6,666",-,"180,806","180,611",191,-
104年 6月,"2,185,913","2,179,124","6,776",-,"978,763","974,524","4,233",-,"1,098,861","1,093,017","5,838",-,"1,644,003","1,640,400","3,593",-,"2,015,494","2,008,829","6,658",-,"180,878","180,693",181,-
104年 7月,"2,181,794","2,175,006","6,775",-,"974,026","969,701","4,319",-,"1,099,484","1,093,503","5,975",-,"1,640,336","1,636,664","3,662",-,"2,009,749","2,003,046","6,697",-,"180,851","180,667",181,-
104年 8月,"2,183,640","2,176,590","7,037",-,"973,826","969,291","4,529",-,"1,102,009","1,095,895","6,108",-,"1,642,794","1,639,087","3,697",-,"2,000,646","1,993,919","6,721",-,"181,098","180,911",184,-
104年 9月,"2,188,589","2,181,367","7,211",-,"975,349","970,649","4,694",-,"1,105,841","1,099,288","6,546",-,"1,647,327","1,643,601","3,716",-,"2,002,167","1,995,513","6,648",-,"181,531","181,345",183,-
104年 10月,"2,184,100","2,176,594","7,495",-,"974,738","969,745","4,987",-,"1,107,582","1,100,755","6,820",-,"1,648,922","1,645,138","3,776",-,"2,000,277","1,993,498","6,773",-,"181,715","181,528",184,-
104年 11月,"2,182,218","2,174,321","7,897",-,"970,853","965,630","5,222",-,"1,108,925","1,101,929","6,993",-,"1,651,115","1,647,276","3,837",-,"2,000,341","1,993,559","6,782",-,"181,874","181,685",189,-
104年 12月,"2,178,050","2,169,317","8,733",-,"962,797","957,083","5,713",-,"1,108,748","1,101,190","7,555",-,"1,650,878","1,647,008","3,868",-,"1,996,797","1,990,037","6,760",-,"181,006","180,812",194,-
105年,"2,180,322","2,167,044","13,278",-,"952,180","944,160","8,019",-,"1,126,573","1,114,452","12,119",-,"1,665,116","1,658,662","6,452",-,"1,990,803","1,983,344","7,459",-,"181,573","181,275",298,-
105年 1月,"2,176,937","2,167,824","9,113",-,"960,020","954,212","5,807",-,"1,108,998","1,101,182","7,813",-,"1,651,610","1,647,725","3,883",-,"1,997,037","1,990,044","6,993",-,"180,591","180,393",198,-
105年 2月,"2,178,193","2,168,763","9,430",-,"960,228","954,329","5,898",-,"1,110,195","1,101,961","8,232",-,"1,652,539","1,648,644","3,893",-,"1,997,109","1,990,268","6,841",-,"180,694","180,485",209,-
