日期,未滿1年,1年-未滿2年,2年-未滿3年,3年-未滿4年,4年-未滿5年,5年-未滿6年,6年-未滿7年,7年-未滿8年,8年-未滿9年,9年-未滿10年,10年-未滿11年,11年-未滿12年,12年-未滿13年,13年-未滿14年,14年-未滿15年,15年-未滿16年,16年-未滿17年,17年-未滿18年
108年 1月底,"313,456","391,573","385,989","376,295","396,007","325,876","328,370","331,642","305,197","250,862","177,079","279,447","271,967","404,416","384,310","309,444","258,681","199,155"
108年 2月底,"304,899","386,559","393,904","371,224","399,589","330,986","320,705","336,547","306,453","259,526","172,934","277,074","266,203","403,426","380,310","318,033","262,430","195,309"
108年 3月底,"297,580","387,045","397,076","365,840","402,017","339,867","314,367","336,575","309,367","274,798","167,223","272,810","258,275","392,999","387,095","321,652","268,429","194,000"
108年 4月底,"295,900","386,235","393,061","371,770","398,155","350,299","313,585","339,786","305,615","283,618","163,887","267,783","256,880","381,763","388,304","326,722","270,765","196,687"
108年 5月底,"294,527","387,943","387,078","375,524","397,136","359,206","310,738","347,313","303,246","289,366","165,022","258,507","257,831","370,057","386,514","335,515","272,600","197,984"
108年 6月底,"290,295","392,298","382,628","375,133","402,207","362,386","310,627","348,063","307,150","291,117","171,002","251,545","253,262","360,884","389,076","340,404","274,377","201,512"
108年 7月底,"296,505","393,984","380,974","373,676","400,465","369,953","312,712","343,281","316,817","291,042","180,283","240,112","257,505","344,017","390,985","344,729","275,781","205,905"
108年 8月底,"292,213","391,316","383,522","376,975","399,778","370,263","313,462","340,485","324,543","291,196","187,262","230,703","260,272","332,768","392,464","349,165","274,948","207,212"
108年 9月底,"293,062","387,697","386,070","378,263","395,512","370,398","321,177","334,685","331,797","294,416","195,002","220,695","264,486","316,673","398,442","348,544","275,776","213,264"
108年 10月底,"293,146","387,242","384,252","381,216","394,312","377,331","319,870","331,714","336,546","295,351","203,979","212,431","267,943","303,797","400,986","347,030","279,685","216,580"
108年 11月底,"300,102","379,885","388,459","383,748","393,206","377,550","326,583","326,327","338,218","296,649","220,469","200,099","273,882","289,817","399,538","347,582","283,331","221,703"
108年 12月底,"317,757","374,590","392,222","390,349","384,016","384,185","330,062","321,467","339,339","286,746","241,129","190,469","279,089","283,491","397,184","346,481","278,912","231,891"
109年底,"333,564","363,910","377,384","394,498","396,030","384,758","383,190","329,546","320,331","337,355","284,441","238,610","187,690","272,679","273,315","375,203","320,457","253,067"
