日期,淡水,鞍部,臺北,竹子湖,基隆,彭佳嶼,花蓮,蘇澳,宜蘭,東吉島,澎湖,臺南,高雄,嘉義,臺中,阿里山,大武,玉山,新竹,恆春,成功,蘭嶼,日月潭,臺東,梧棲,金門,馬祖
97年 2月,215.7,532.5,163.7,429.7,466.1,190.2,144.0,378.4,214.8,11.6,17.5,9.5,16.1,18.4,38.4,90.2,39.6,104.2,97.4,7.3,143.0,194.4,57.7,47.1,40.8,35.2,39.3
97年 3月,78.8,158.5,127.9,113.0,150.5,114.5,116.4,214.7,142.3,3.5,26.4,25.5,15.1,12.7,34.1,64.8,32.7,70.8,186.9,57.9,72.6,161.6,42.5,22.3,32.7,20.2,64.0
97年 4月,218.7,249.0,153.0,214.6,215.2,140.8,83.5,180.1,116.8,69.6,73.3,13.7,32.5,25.9,31.2,135.3,53.3,127.4,188.9,8.3,238.5,151.4,191.0,109.8,26.4,68.1,95.5
97年 5月,221.2,308.0,319.1,281.2,340.5,159.4,72.1,100.1,135.2,31.2,63.5,41.5,106.5,67.6,332.0,377.8,74.6,273.8,210.6,31.5,136.4,150.9,409.0,55.0,229.6,63.3,136.8
97年 6月,231.0,216.5,361.2,206.8,145.8,88.6,170.4,348.4,172.8,370.9,228.6,782.2,"1,199.7",288.2,182.8,496.4,508.7,408.5,224.8,653.0,244.1,502.7,439.8,327.2,174.3,231.2,126.9
97年 7月,151.4,406.0,236.4,385.0,181.9,114.2,620.2,256.7,250.6,302.1,767.2,526.9,653.1,"1,063.4",907.6,"1,573.1",419.4,"1,024.3",345.7,532.4,213.1,251.0,968.0,159.1,401.8,251.6,231.7
97年 8月,0.6,7.0,281.3,21.3,27.1,7.8,111.8,24.7,97.8,59.1,94.7,84.5,162.0,290.0,50.7,276.5,236.8,102.7,19.2,423.2,107.1,152.0,115.6,322.2,14.1,67.3,13.9
97年 9月,"1,084.0","1,808.5",957.1,"1,832.0",852.5,987.8,555.2,815.9,941.7,149.0,124.1,356.5,293.0,632.0,829.7,"2,525.8",448.2,"1,558.1",705.1,181.1,271.8,474.2,"1,391.5",308.0,585.2,27.4,129.1
97年 10月,47.4,439.5,88.1,366.7,327.0,118.8,226.9,590.3,315.0,57.0,57.0,33.0,26.5,50.9,20.5,118.5,123.6,56.6,28.9,35.1,113.1,182.7,60.6,131.8,58.0,163.1,118.2
97年 11月,167.6,722.8,155.9,488.6,362.9,46.6,80.2,418.1,263.8,12.0,28.0,42.9,72.0,23.3,24.4,100.1,66.2,144.3,67.1,65.5,111.5,450.5,78.8,99.9,28.3,62.5,27.8
97年 12月,51.6,155.0,39.7,162.1,129.9,56.5,61.8,206.5,70.2,6.5,9.5,1.1,-,7.0,11.2,25.0,43.7,31.4,19.3,4.7,23.3,102.8,24.1,27.2,14.6,5.8,1.4
98年,"1,321.6","3,860.5","1,669.2","3,403.2","3,654.6","1,426.8","2,535.6","4,682.3","2,930.2","1,197.3",969.8,"1,366.6","1,756.3","1,826.5","1,978.7","5,222.0","2,684.8","3,588.9","1,119.5","1,854.3","1,814.1","2,320.0","1,797.8","1,380.9",997.3,884.3,"1,170.6"
98年 1月,52.7,313.4,36.1,228.0,446.1,77.8,50.6,282.7,129.5,-,0.3,-,-,-,-,0.2,26.7,0.6,9.2,29.5,50.3,68.5,0.2,13.2,0.2,3.1,30.0
98年 2月,31.5,189.0,32.8,127.6,239.2,79.4,92.2,508.0,137.0,4.5,1.7,5.5,0.5,13.0,12.5,3.4,49.8,4.5,36.4,9.9,106.4,80.6,3.0,65.8,16.0,17.6,6.4
98年 3月,182.7,257.0,192.0,203.5,297.3,138.9,92.8,150.4,132.5,62.0,65.6,39.1,30.0,84.9,161.2,253.6,44.8,126.5,179.5,13.8,90.2,194.3,154.1,47.3,182.4,117.7,99.0
98年 4月,84.1,147.1,120.7,109.9,150.9,176.0,56.4,150.4,81.3,86.0,78.8,76.0,72.8,97.0,303.0,352.7,105.5,250.7,74.4,38.8,52.8,211.5,190.9,60.2,158.9,180.1,87.3
98年 5月,15.1,27.0,24.7,20.0,74.6,37.8,141.5,91.6,41.3,18.7,4.2,5.8,14.0,9.4,20.5,95.2,10.4,99.0,25.7,2.0,29.8,87.6,70.2,78.4,23.7,31.0,50.8
98年 6月,162.3,226.0,276.8,280.5,403.1,135.2,320.1,230.4,216.1,89.0,159.3,272.0,311.5,256.3,421.5,612.6,223.6,443.4,248.1,87.4,115.7,120.6,283.0,99.8,148.5,190.6,241.3
98年 7月,14.0,34.5,140.9,38.8,65.1,41.8,198.6,139.8,66.0,128.9,109.1,139.5,200.5,201.0,83.5,140.3,432.8,185.2,48.5,298.6,385.3,146.9,146.7,412.1,72.9,77.2,143.5
98年 8月,209.2,601.5,321.3,587.9,211.5,364.3,158.8,160.6,119.0,716.7,455.3,765.9,934.5,947.2,810.8,"3,346.0","1,297.6","2,189.9",321.3,927.2,182.5,290.8,784.5,184.0,336.5,136.8,232.1
98年 9月,173.4,521.0,210.5,478.8,472.3,115.5,325.8,618.4,626.3,15.0,14.6,39.5,134.5,186.1,119.7,146.4,264.7,68.9,19.0,258.6,387.8,407.9,88.7,210.7,1.7,29.9,141.1
98年 10月,202.4,836.0,196.0,774.1,611.4,100.6,"1,032.6","1,632.5",988.8,17.3,12.5,15.8,48.5,7.1,12.4,170.4,204.8,138.4,46.9,181.0,351.2,488.6,30.0,155.2,8.3,1.2,14.4
