日期,淡水,鞍部,臺北,竹子湖,基隆,彭佳嶼,花蓮,蘇澳,宜蘭,東吉島,澎湖,臺南,高雄,嘉義,臺中,阿里山,大武,玉山,新竹,恆春,成功,蘭嶼,日月潭,臺東,梧棲,金門,馬祖
111年 4月,75.0,201.0,108.5,185.0,117.5,77.5,104.5,103.5,54.0,57.5,4.0,6.0,2.5,111.5,40.5,105.0,134.0,75.5,108.0,12.5,207.0,59.5,102.5,242.0,18.5,18.0,85.0
111年 5月,472.5,694.5,486.0,561.0,728.5,434.5,237.0,534.0,342.5,270.0,311.0,223.0,227.0,289.0,465.5,817.0,261.5,944.5,522.5,308.0,127.5,532.5,483.0,121.0,502.0,214.5,251.0
111年 6月,196.0,271.5,234.5,209.0,181.0,302.0,136.0,198.5,151.5,123.0,225.0,154.0,155.0,260.5,250.0,300.5,149.0,186.0,346.0,141.0,81.0,132.0,468.0,117.0,309.0,184.5,360.0
111年 7月,56.0,73.0,122.0,79.5,31.0,46.0,76.5,25.5,11.0,82.5,36.5,165.0,102.5,58.0,90.0,205.0,49.5,95.0,31.5,200.5,29.0,54.5,172.5,78.5,0.5,120.0,141.5
111年 8月,103.5,70.0,218.5,101.0,54.0,109.5,20.0,30.0,34.0,87.0,132.0,297.5,229.0,402.5,278.0,411.5,226.5,119.5,61.5,261.0,97.5,207.5,187.5,148.0,...,34.0,10.5
111年 9月,323.5,"1,066.5",256.0,977.5,412.5,210.0,117.5,319.5,262.5,7.0,3.0,25.5,108.5,107.0,85.0,312.5,111.5,491.5,220.5,42.0,156.5,134.5,156.5,76.5,...,31.0,2.5
111年 10月,489.5,"2,180.0",449.5,"2,426.0","1,004.5",251.0,878.0,"1,201.5",780.0,6.0,7.5,3.5,15.5,5.5,11.5,157.5,363.5,151.0,101.0,140.0,704.5,611.0,25.5,376.0,...,-,4.0
111年 11月,141.0,621.5,119.5,430.0,571.5,176.5,65.5,"1,174.5",667.5,6.0,6.5,1.0,-,-,19.5,36.5,36.5,64.5,112.5,13.5,69.0,502.5,15.0,75.5,...,47.5,99.5
111年 12月,141.0,765.0,90.5,750.0,877.0,147.5,22.5,987.0,412.0,8.0,7.0,7.0,15.5,39.5,16.5,60.5,29.0,81.5,26.0,4.5,50.0,94.5,15.0,5.5,...,19.0,47.5
112年(1月至5月),432.0,928.0,381.0,748.0,"1,111.0",588.0,414.5,...,529.5,61.0,174.5,30.0,64.5,264.5,399.0,600.0,322.0,454.5,623.0,111.0,532.5,855.5,436.0,193.5,...,302.0,368.0
112年 1月,40.0,240.5,28.0,141.5,300.5,153.5,199.5,443.0,230.0,4.0,2.5,0.5,-,7.5,5.0,31.0,51.0,62.0,9.5,6.0,160.5,155.0,14.0,69.5,...,15.0,38.5
112年 2月,63.5,236.0,37.5,201.0,352.5,176.0,29.0,323.5,116.5,-,9.5,-,-,-,7.5,20.0,21.0,4.0,21.5,6.0,27.0,105.0,11.0,7.0,...,43.0,63.0
112年 3月,28.0,80.0,23.5,53.0,129.5,77.0,21.5,112.5,46.5,4.5,10.0,-,-,15.0,19.5,40.5,12.5,9.0,23.5,0.5,83.0,247.5,24.0,10.5,...,66.0,92.0
112年 4月,82.5,135.0,109.5,124.5,146.0,122.5,37.5,...,51.0,11.5,70.5,1.0,2.5,79.5,188.5,135.0,32.5,74.0,141.0,5.5,69.5,140.5,124.5,13.0,...,99.0,126.5
112年 5月,218.0,236.5,182.5,228.0,182.5,59.0,127.0,...,85.5,41.0,82.0,28.5,62.0,162.5,178.5,373.5,205.0,305.5,427.5,93.0,192.5,207.5,262.5,93.5,...,79.0,48.0
